# Calculated with TZV2PX-MOLOPT-GTH basis set, PW cutoffs 500/50,
# tighter CDFT convergence criterion of EPS_SCF 1.0E-4
# Distance		      CDFT-CI (PBE)				PBE				 HF
	  0.50		-0.4133055379339600		-0.4154400078392560		-0.4199031238965890
	  0.55		-0.4643475916575200		-0.4669962101401360		-0.4705844095011760
	  0.60		-0.5022111867954600		-0.5054091145387570		-0.5080596587671620
	  0.65		-0.5303985796139200		-0.5341867143671269		-0.5358481963286150
	  0.70		-0.5513519877403500		-0.5557800381315180		-0.5564100578272760
	  0.75		-0.5668374905641700		-0.5719420700737580		-0.5715054237494270
	  0.80		-0.5781319290730300		-0.5839516525408920		-0.5824190390118390
	  0.85		-0.5861865826199200		-0.5927583289780110		-0.5901049136108060
	  0.90		-0.5917180358347000		-0.5990775273256240		-0.5952821812311300
	  0.95		-0.5952739502055900		-0.6034555319488040		-0.5985000885220860
	  1.00		-0.5972773634406000		-0.6063144891096850		-0.6001829071612500
	  1.05		-0.5980583278571200		-0.6079834040699150		-0.6006614441368670
	  1.10		-0.5978764856447200		-0.6087210900324020		-0.6001954605265900
	  1.15		-0.5969376032802400		-0.6087322311824080		-0.5989899211191290
	  1.20		-0.5954053140062000		-0.6081792171186440		-0.5972071020554900
	  1.25		-0.5934110604106100		-0.6071918382948450		-0.5949759061886680
	  1.30		-0.5910606680720299		-0.6058738953955670		-0.5923992092003540
	  1.35		-0.5884401011988900		-0.6043090236218780		-0.5895597119046700
	  1.40		-0.5856197322449500		-0.6025653741303610		-0.5865245929597480
	  1.45		-0.5826575622485800		-0.6006985670321030		-0.5833491758560840
	  1.50		-0.5796013726202500		-0.5987549334864030		-0.5800797705771880
	  2.00		-0.5498873825685699		-0.5811376501780330		-0.5485980793011540
	  2.50		-0.5279811963847200		-0.5724921417705920		-0.5264451557754040
	  3.00		-0.5141161908903900		-0.5706499548865300		-0.5132915485023890
	  3.50		-0.5064300452607000		-0.5720996725912200		-0.5063329297146840
	  4.00		-0.5024749599041100		-0.5746811134240890		-0.5028918425912350
	  4.50		-0.5007120484970100		-0.5774238842864080		-0.5012348605286930
	  5.00		-0.4998609373957000		-0.5799674086486670		-0.5004494057368500
	  5.50		-0.4995480345578500		-0.5822101719570250		-0.5000862603143070
	  6.00		-0.4993185157239900		-0.5841504711310970		-0.4999227096842230
	  6.50		-0.4992171496655500		-0.5858202669746310		-0.4998486939892560
	  7.00		-0.4991749947130000		-0.5872610168876670		-0.4998130184059910
	  7.50		-0.4991821675664000		-0.5885128934994170		-0.4997939960628400
	  8.00		-0.4991827024310400		-0.5896096534092460		-0.4997900339746500
	  8.50		-0.4991808293718000		-0.5905788454012840		-0.4997859821287160
	  9.00		-0.4991813693478100		-0.5914417585779770		-0.4997843351863280
	  9.50		-0.4991907660494300		-0.5922158071416750		-0.4997919846827030
	 10.00		-0.4992216732153100		-0.5929165960051240		-0.4997794269369920
