
 Real time propagation step:                1
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.462804371059E-21  0.19129963E+01
      0.496895207425E-21 -0.13753680E+01
      0.100000000000E+01  0.41759374E-01
      0.355959272955E-20  0.16019333E+01
      0.412202423168E-15 -0.15486747E+01
      0.412088934436E-15  0.15929180E+01
      0.511138554394E-21 -0.15431654E+01

 Real time propagation step:                2
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.168350911145E-20  0.22542677E+01
      0.193787056825E-20 -0.11801587E+01
      0.100000000000E+01  0.83518582E-01
      0.142427631230E-19  0.16330792E+01
      0.234864306194E-14 -0.15171619E+01
      0.234799598095E-14  0.16244308E+01
      0.204197780249E-20 -0.15154815E+01

 Real time propagation step:                3
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.322858097648E-20  0.25934728E+01
      0.418240423278E-20 -0.98546526E+00
      0.100000000000E+01  0.12527838E+00
      0.320568626173E-19  0.16642392E+01
      0.234409158128E-14 -0.14764299E+01
      0.234344413781E-14  0.16651629E+01
      0.458369688451E-20 -0.14877095E+01

 Real time propagation step:                4
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.456285473973E-20  0.29300640E+01
      0.701546915813E-20 -0.79149710E+00
      0.100000000000E+01  0.16703878E+00
      0.569904073671E-19  0.16954174E+01
      0.385143015331E-15 -0.13568345E+01
      0.385035061975E-15  0.17847591E+01
      0.811764194443E-20 -0.14598264E+01

 Real time propagation step:                5
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.523717252814E-20 -0.30194919E+01
      0.101716104400E-19 -0.59837802E+00
      0.100000000000E+01  0.20879956E+00
      0.889944945731E-19  0.17266146E+01
      0.786517157712E-15  0.15605512E+01
      0.786305620200E-15 -0.15810417E+01
      0.126125101740E-19 -0.14318247E+01

 Real time propagation step:                6
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.503194791602E-20 -0.26896742E+01
      0.133629128336E-19 -0.40616040E+00
      0.100000000000E+01  0.25056036E+00
      0.127979499645E-18  0.17578269E+01
      0.574920872366E-14  0.16549215E+01
      0.574764512327E-14 -0.14866714E+01
      0.180239192344E-19 -0.14036872E+01

 Real time propagation step:                7
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.402350320596E-20 -0.23660394E+01
      0.163051475422E-19 -0.21482528E+00
      0.100000000000E+01  0.29232078E+00
      0.173826320247E-18  0.17890514E+01
      0.111978393971E-13  0.16974635E+01
      0.111947903332E-13 -0.14441294E+01
      0.242955196710E-19 -0.13753821E+01

 Real time propagation step:                8
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.255775261973E-20 -0.20550889E+01
      0.187414700769E-19 -0.24320793E-01
      0.100000000000E+01  0.33408059E+00
      0.226402819599E-18  0.18202844E+01
      0.112356560460E-13  0.17370719E+01
      0.112326019934E-13 -0.14045210E+01
      0.313630362685E-19 -0.13468883E+01

 Real time propagation step:                9
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.113184911993E-20 -0.17788630E+01
      0.204607978833E-19  0.16536527E+00
      0.100000000000E+01  0.37583976E+00
      0.285580071857E-18  0.18515226E+01
      0.571812821553E-14  0.17913188E+01
      0.571658472457E-14 -0.13502745E+01
      0.391581529115E-19 -0.13182039E+01

 Real time propagation step:               10
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.214832495228E-21 -0.16757923E+01
      0.213149150580E-19  0.35424280E+00
      0.100000000000E+01  0.41759852E+00
      0.351230915879E-18  0.18827658E+01
      0.675304181998E-15  0.19714258E+01
      0.675129206828E-15 -0.11701703E+01
      0.476093895663E-19 -0.12893365E+01

 Real time propagation step:               11
  Projection on the MO number 3 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.794114730425E-22  0.28845649E+01
      0.212297761038E-19  0.54227524E+00
      0.100000000000E+01  0.45935727E+00
      0.423216878066E-18  0.19140192E+01
      0.692580797784E-15 -0.15975713E+01
