
 Real time propagation step:                1
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.269377747007E-17  0.20605516E+01
      0.181129449554E-17 -0.13028591E+01
      0.412202417451E-15 -0.15335847E+01
      0.595945361790E-17  0.15928844E+01
      0.100000000000E+01  0.17573269E-01
      0.261617538214E-29  0.26984371E-01
      0.117217562211E-15 -0.15552853E+01

 Real time propagation step:                2
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.145715625749E-16  0.23136190E+01
      0.101839414287E-16 -0.11591502E+01
      0.234864300463E-14 -0.15057614E+01
      0.339232664058E-16  0.16132762E+01
      0.100000000000E+01  0.35146373E-01
      0.135532376571E-28  0.45787643E-01
      0.668792702016E-15 -0.15386160E+01

 Real time propagation step:                3
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.154596262569E-16  0.23090327E+01
      0.103630972343E-16 -0.11532970E+01
      0.234409465697E-14 -0.14871585E+01
      0.337496375017E-16  0.16339121E+01
      0.100000000000E+01  0.52720065E-01
      0.136007694358E-28  0.69271015E-01
      0.670267008895E-15 -0.15200915E+01

 Real time propagation step:                4
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.202338283884E-16  0.17918374E+01
      0.545511197106E-17 -0.17547139E+01
      0.385144205514E-15 -0.15474150E+01
      0.539511907342E-17  0.16525902E+01
      0.100000000000E+01  0.70294358E-01
      0.218105539704E-29  0.13929824E+00
      0.111653918778E-15 -0.14873826E+01

 Real time propagation step:                5
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.646216649718E-16  0.15919374E+01
      0.174344574482E-16 -0.25607170E+01
      0.786514252482E-15  0.18777113E+01
      0.113479370403E-16 -0.14615108E+01
      0.100000000000E+01  0.87869036E-01
      0.371937040301E-29  0.16147201E+00
      0.212149216608E-15  0.16241020E+01

 Real time propagation step:                6
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.137855487795E-15  0.17192557E+01
      0.528271708923E-16 -0.26556795E+01
      0.574920901501E-14  0.18426791E+01
      0.831289919745E-16 -0.14420635E+01
      0.100000000000E+01  0.10544373E+00
      0.561243533110E-28  0.12976891E+00
      0.160330548704E-14  0.16529206E+01

 Real time propagation step:                7
  Projection on the MO number 5 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.183506268956E-15  0.18700786E+01
      0.853808392170E-16 -0.25997288E+01
