
 Real time propagation step:                1
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.619523635768E-15 -0.14522772E+01
      0.160818875295E-15  0.24411474E+01
      0.190047037460E-16  0.79012851E+00
      0.634404441865E-15  0.13104248E+01
      0.171087817524E-14  0.27469100E+00
      0.652379687814E-15  0.26302560E+00
      0.262955406625E-14  0.28184679E+01

 Real time propagation step:               16
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.775573096433E-15 -0.14130162E+01
      0.152698766139E-15  0.19992779E+01
      0.250641535319E-16  0.11723664E+01
      0.459800150697E-14  0.16977059E+01
      0.171126769983E-14  0.29310449E+00
      0.652372743976E-15  0.28055646E+00
      0.856228943817E-14  0.22909912E+01

 Real time propagation step:               17
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.846372900319E-15 -0.13607657E+01
      0.207463150909E-15  0.17889776E+01
      0.341804560091E-16  0.13786363E+01
      0.926311131419E-14  0.17702077E+01
      0.171169558273E-14  0.31152691E+00
      0.652365119928E-15  0.29808639E+00
      0.155045558818E-13  0.21654280E+01

 Real time propagation step:               18
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.855833764540E-15 -0.13670955E+01
      0.209467828912E-15  0.17932388E+01
      0.385203352302E-16  0.14241567E+01
      0.945215313993E-14  0.17777904E+01
      0.171216388346E-14  0.32995639E+00
      0.652356595813E-15  0.31561520E+00
      0.157168570283E-13  0.21689456E+01

 Real time propagation step:               19
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.951098916653E-15 -0.14284136E+01
      0.121824025179E-15  0.18568629E+01
      0.352446169527E-16  0.13297676E+01
      0.489341139143E-14  0.17097356E+01
      0.171267412563E-14  0.34839127E+00
      0.652347120721E-15  0.33314293E+00
      0.875193179095E-14  0.22963138E+01

 Real time propagation step:               20
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.120314897243E-14 -0.14551703E+01
      0.275778790695E-16  0.17547381E+01
      0.295970942323E-16  0.10998957E+01
      0.784331339104E-15  0.12446382E+01
      0.171322717173E-14  0.36683002E+00
      0.652336853869E-15  0.35066994E+00
      0.236553875963E-14  0.28401315E+01

 Real time propagation step:               21
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.148564250098E-14 -0.14137457E+01
      0.950748962145E-17  0.22422656E+00
      0.277252662781E-16  0.80804774E+00
      0.114256223517E-14 -0.52091857E+00
      0.171382387136E-14  0.38527112E+00
      0.652325929007E-15  0.36819677E+00
      0.264692880997E-14 -0.21747338E+01

 Real time propagation step:               22
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.162675678179E-14 -0.13550158E+01
      0.421065400801E-16 -0.18112369E+00
      0.288712376049E-16  0.60910811E+00
      0.382069209923E-14 -0.79772705E+00
      0.171446547030E-14  0.40371291E+00
      0.652314262280E-15  0.38572398E+00
      0.652717181018E-14 -0.17859008E+01

 Real time propagation step:               23
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.164746278460E-14 -0.13374525E+01
      0.449240703304E-16 -0.18310875E+00
      0.276379057709E-16  0.59268004E+00
      0.399327537228E-14 -0.79888258E+00
      0.171515331248E-14  0.42215347E+00
      0.652301647453E-15  0.40325200E+00
      0.687265651426E-14 -0.17651362E+01

