
 Real time propagation step:                1
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.122619255133E-22 -0.12411924E+01
      0.160680423457E-21 -0.13913212E+01
      0.511159392203E-21 -0.15423502E+01
      0.263972274772E-21  0.15885485E+01
      0.117217562264E-15 -0.15543713E+01
      0.117185327840E-15  0.15872213E+01
      0.100000000000E+01  0.14362680E-01

 Real time propagation step:                2
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.444721420016E-22 -0.91265440E+00
      0.623664557033E-21 -0.12119994E+01
      0.204209715185E-20 -0.15139238E+01
      0.105826397883E-20  0.16063005E+01
      0.668792695975E-15 -0.15391045E+01
      0.668608776594E-15  0.16024881E+01
      0.100000000000E+01  0.28725195E-01

 Real time propagation step:                3
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.849052185838E-22 -0.58608133E+00
      0.133436271282E-20 -0.10330256E+01
      0.458404542721E-20 -0.14855522E+01
      0.238969568907E-20  0.16240416E+01
      0.670266890201E-15 -0.15256921E+01
      0.670082607250E-15  0.16159006E+01
      0.100000000000E+01  0.43088298E-01

 Real time propagation step:                4
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.119167578052E-21 -0.26186632E+00
      0.220916515748E-20 -0.85466369E+00
      0.811849925947E-20 -0.14572818E+01
      0.426827125213E-20  0.16418139E+01
      0.111653877653E-15 -0.15264624E+01
      0.111623224413E-15  0.16151303E+01
      0.100000000000E+01  0.57452003E-01

 Real time propagation step:                5
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.135275570610E-21  0.60046244E-01
      0.314614175998E-20 -0.67716929E+00
      0.126139580930E-19 -0.14291583E+01
      0.670678401705E-20  0.16596637E+01
      0.212149217974E-15  0.16771759E+01
      0.212090741831E-15 -0.14644168E+01
      0.100000000000E+01  0.71816092E-01

 Real time propagation step:                6
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.127567589272E-21  0.37994600E+00
      0.403827155080E-20 -0.50079578E+00
      0.180259212859E-19 -0.14012021E+01
      0.972230216364E-20  0.16776087E+01
      0.160330515949E-14  0.16802965E+01
      0.160286370556E-14 -0.14612962E+01
      0.100000000000E+01  0.86180195E-01

 Real time propagation step:                7
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.986123461533E-22  0.69660385E+00
      0.478624209015E-20 -0.32582223E+00
      0.242983015214E-19 -0.13734082E+01
      0.133385082314E-19  0.16956371E+01
      0.314458308262E-14  0.16932983E+01
      0.314371737753E-14 -0.14482944E+01
      0.100000000000E+01  0.10054393E+00

 Real time propagation step:                8
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.586149368148E-22  0.10048788E+01
      0.531021921455E-20 -0.15249716E+00
      0.313661475522E-19 -0.13457724E+01
      0.175880062271E-19  0.17137381E+01
      0.316839650118E-14  0.17068840E+01
      0.316752415975E-14 -0.14347087E+01
      0.100000000000E+01  0.11490704E+00

 Real time propagation step:                9
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.219284110150E-22  0.12861113E+01
      0.555786816683E-20  0.18910430E-01
      0.391611949366E-19 -0.13183051E+01
      0.225133231873E-19  0.17319202E+01
      0.161914046854E-14  0.17178601E+01
      0.161869447562E-14 -0.14237327E+01
      0.100000000000E+01  0.12926952E+00

 Real time propagation step:               10
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.181817908642E-23  0.13339112E+01
      0.550837176427E-20  0.18808002E+00
      0.476123202339E-19 -0.12910284E+01
      0.281635294006E-19  0.17502000E+01
      0.188675158118E-15  0.17061374E+01
      0.188623041948E-15 -0.14354554E+01
      0.100000000000E+01  0.14363159E+00

 Real time propagation step:               11
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.530563566213E-23 -0.88701825E+00
      0.517268698666E-20  0.35458213E+00
      0.566455411365E-19 -0.12639595E+01
      0.345899593935E-19  0.17685737E+01
      0.177036322245E-15 -0.13356949E+01
      0.176987852474E-15  0.18058979E+01
      0.100000000000E+01  0.15799364E+00

 Real time propagation step:               12
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.306677770606E-22 -0.69947045E+00
      0.459080086699E-20  0.51765013E+00
      0.661844148879E-19 -0.12371031E+01
      0.418405024737E-19  0.17870154E+01
      0.927703411764E-15 -0.13445043E+01
      0.927448784273E-15  0.17970884E+01
      0.100000000000E+01  0.17235607E+00

 Real time propagation step:               13
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.683614836187E-22 -0.41603362E+00
      0.382680076288E-20  0.67591044E+00
      0.761492677368E-19 -0.12104634E+01
      0.499541137292E-19  0.18054957E+01
      0.958405051239E-15 -0.13310838E+01
      0.958142044094E-15  0.18105090E+01
      0.100000000000E+01  0.18671916E+00

 Real time propagation step:               14
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.104709814562E-21 -0.11755053E+00
      0.296244335629E-20  0.82678430E+00
      0.864635503467E-19 -0.11840502E+01
      0.589609690732E-19  0.18240018E+01
      0.203256825848E-15 -0.13064466E+01
      0.203201235171E-15  0.18351463E+01
      0.100000000000E+01  0.20108292E+00

 Real time propagation step:               15
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.126629986131E-21  0.18405572E+00
      0.208879774316E-20  0.96512484E+00
      0.970558822386E-19 -0.11578753E+01
      0.688835504239E-19  0.18425363E+01
      0.184786684636E-15  0.18150035E+01
      0.184735524628E-15 -0.13265895E+01
      0.100000000000E+01  0.21544711E+00

 Real time propagation step:               16
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.126224339087E-21  0.48419937E+00
      0.129638255181E-20  0.10796253E+01
      0.107858732926E-18 -0.11319448E+01
      0.797375508599E-19  0.18610962E+01
      0.177276517269E-14  0.18429808E+01
      0.177227642650E-14 -0.12986120E+01
      0.100000000000E+01  0.22981134E+00

 Real time propagation step:               17
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.103661711413E-21  0.77756135E+00
      0.664920236831E-21  0.11406699E+01
      0.118809331750E-18 -0.11062532E+01
      0.915344471215E-19  0.18796689E+01
      0.363835325065E-14  0.18598344E+01
      0.363735077651E-14 -0.12817583E+01
      0.100000000000E+01  0.24417516E+00

 Real time propagation step:               18
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.671621050181E-22  0.10542007E+01
      0.253428597586E-21  0.10474613E+01
      0.129850293465E-18 -0.10807921E+01
      0.104283049729E-18  0.18982405E+01
      0.371999070533E-14  0.18735290E+01
      0.371896572267E-14 -0.12680638E+01
      0.100000000000E+01  0.25853829E+00

 Real time propagation step:               19
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.301207619199E-22  0.12829806E+01
      0.934722378595E-22  0.43506994E+00
      0.140927845412E-18 -0.10555650E+01
      0.117984834319E-18  0.19168084E+01
      0.188927949712E-14  0.18808489E+01
      0.188875858985E-14 -0.12607440E+01
      0.100000000000E+01  0.27290071E+00

 Real time propagation step:               20
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.603033387011E-23  0.12698505E+01
      0.186681871792E-21 -0.33430585E+00
      0.151994749598E-18 -0.10305834E+01
      0.132634177455E-18  0.19353806E+01
      0.198473871303E-15  0.18406537E+01
      0.198418899909E-15 -0.13009396E+01
      0.100000000000E+01  0.28726267E+00

 Real time propagation step:               21
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.360433104332E-23 -0.23609169E+00
      0.506502533418E-21 -0.50414964E+00
      0.163011860519E-18 -0.10058526E+01
      0.148215775483E-18  0.19539582E+01
      0.264537699875E-15 -0.11315330E+01
      0.264465413055E-15  0.20100602E+01
      0.100000000000E+01  0.30162459E+00

 Real time propagation step:               22
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.237605997322E-22 -0.41917667E+00
      0.100356358603E-20 -0.47169655E+00
      0.173944312107E-18 -0.98136851E+00
      0.164701133838E-18  0.19725307E+01
      0.127924998606E-14 -0.11552233E+01
      0.127889913848E-14  0.19863696E+01
      0.100000000000E+01  0.31598693E+00

 Real time propagation step:               23
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.592819268544E-22 -0.21481386E+00
      0.161316214282E-20 -0.37551869E+00
      0.184764676945E-18 -0.95712105E+00
      0.182050507026E-18  0.19910817E+01
      0.135705850366E-14 -0.11424173E+01
      0.135668630219E-14  0.19991756E+01
      0.100000000000E+01  0.33035000E+00

 Real time propagation step:               24
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.974327350305E-22  0.50406923E-01
      0.226325803161E-20 -0.25355436E+00
      0.195452107458E-18 -0.93310477E+00
      0.200212317203E-18  0.20096038E+01
      0.349147367909E-15 -0.11071114E+01
      0.349051901635E-15  0.20344820E+01
      0.100000000000E+01  0.34471382E+00

 Real time propagation step:               25
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.124416582416E-21  0.33427226E+00
      0.288177682626E-20 -0.11956758E+00
      0.205990967691E-18 -0.90931989E+00
      0.219126667936E-18  0.20280973E+01
      0.147636043340E-15  0.19463246E+01
      0.147595086374E-15 -0.11952693E+01
      0.100000000000E+01  0.35907813E+00

 Real time propagation step:               26
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.130217431002E-21  0.62437321E+00
      0.340364700820E-20  0.20288714E-01
      0.216370341619E-18 -0.88576164E+00
      0.238725636093E-18  0.20465592E+01
      0.193287616354E-14  0.20074147E+01
      0.193234315828E-14 -0.11341783E+01
      0.100000000000E+01  0.37344249E+00

 Real time propagation step:               27
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.112319357846E-21  0.91398709E+00
      0.377612798696E-20  0.16268788E+00
      0.226582616624E-18 -0.86241396E+00
      0.258934100637E-18  0.20649774E+01
      0.417014928118E-14  0.20280391E+01
      0.416900024131E-14 -0.11135539E+01
      0.100000000000E+01  0.38780640E+00

 Real time propagation step:               28
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.769917151185E-22  0.11940797E+01
      0.396324046613E-20  0.30539757E+00
      0.236626690274E-18 -0.83925381E+00
      0.279671654673E-18  0.20833380E+01
      0.432563626176E-14  0.20419216E+01
      0.432444445519E-14 -0.10996713E+01
      0.100000000000E+01  0.40216956E+00

 Real time propagation step:               29
  Projection on the MO number 7 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.372813257787E-22  0.14412508E+01
      0.394929980216E-20  0.44661965E+00
      0.246512962439E-18 -0.81625700E+00
      0.300852757750E-18  0.21016353E+01
      0.217456052042E-14  0.20460557E+01
