
 Real time propagation step:                1
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.155912289636E-17 -0.94763085E+00
      0.415289441746E-17 -0.13711955E+01
      0.465706817759E-16 -0.30182548E+01
      0.383082800838E-15 -0.21509392E+01
      0.756057290078E-15  0.17540249E-01
      0.153701059256E-14  0.16857295E-01
      0.327118816625E-14 -0.33715868E+00

 Real time propagation step:                2
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.810246155877E-17 -0.79584096E+00
      0.233791897828E-16 -0.11986758E+01
      0.491112895138E-16 -0.28664232E+01
      0.161722555357E-14 -0.18188015E+01
      0.756056727060E-15  0.35080210E-01
      0.153699037560E-14  0.33711849E-01
      0.506368752765E-14 -0.69343775E+00

 Real time propagation step:                3
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.825368085890E-17 -0.85346034E+00
      0.242893444568E-16 -0.12039050E+01
      0.506887698055E-16 -0.28245857E+01
      0.163078030414E-14 -0.18125324E+01
      0.756055865692E-15  0.52620559E-01
      0.153695610635E-14  0.50562183E-01
      0.502306895027E-14 -0.68339680E+00

 Real time propagation step:                4
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.118204262221E-16 -0.14313398E+01
      0.141732440921E-16 -0.17977704E+01
      0.503198764766E-16 -0.28902185E+01
      0.401557597743E-15 -0.21660870E+01
      0.756054687764E-15  0.70161234E-01
      0.153690729370E-14  0.67406651E-01
      0.314315093058E-14 -0.29179260E+00

 Real time propagation step:                5
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.400058159459E-16 -0.16139881E+01
      0.428498211543E-16 -0.25540694E+01
      0.503721769427E-16 -0.30279189E+01
      0.641296367279E-15  0.21980071E+01
      0.756053074430E-15  0.87701953E-01
      0.153684355284E-14  0.84243825E-01
      0.348059240173E-14  0.53831828E+00

 Real time propagation step:                6
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.849585918625E-16 -0.14831090E+01
      0.124231571013E-15 -0.26595528E+01
      0.523560780745E-16  0.31134644E+01
      0.374273543512E-14  0.18960152E+01
      0.756050947757E-15  0.10524229E+00
      0.153676426215E-14  0.10107226E+00
      0.813159458420E-14  0.10273709E+01

 Real time propagation step:                7
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.112438031847E-15 -0.13394194E+01
      0.197821586637E-15 -0.26169363E+01
      0.538255396808E-16  0.30342099E+01
      0.715090190996E-14  0.18492602E+01
      0.756048383790E-15  0.12278178E+00
      0.153666836336E-14  0.11789029E+00
      0.133101124408E-13  0.11859712E+01

 Real time propagation step:                8
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.115839513893E-15 -0.13266019E+01
      0.198728601278E-15 -0.26112818E+01
      0.510942741403E-16  0.30535850E+01
      0.715680224403E-14  0.18550985E+01
      0.756045515434E-15  0.14032010E+00
      0.153655450118E-14  0.13469604E+00
      0.134759786015E-13  0.11952910E+01

 Real time propagation step:                9
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.138054276696E-15 -0.14530085E+01
      0.150289591839E-15 -0.27847371E+01
      0.444998830788E-16 -0.30957133E+01
      0.366519513983E-14  0.19031974E+01
      0.756042324848E-15  0.15785714E+00
      0.153642156347E-14  0.15148764E+00
      0.842341036687E-14  0.10519869E+01

 Real time propagation step:               10
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.212988247257E-15 -0.15154610E+01
      0.146324079123E-15  0.30968184E+01
      0.389799861138E-16 -0.28562070E+01
      0.471118311499E-15  0.21538905E+01
      0.756038620841E-15  0.17539306E+00
      0.153626864044E-14  0.16826354E+00
      0.373414083905E-14  0.56351569E+00

 Real time propagation step:               11
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.305875365507E-15 -0.14539922E+01
      0.231027688632E-15  0.28090523E+01
      0.385944550407E-16 -0.25868980E+01
      0.468930637897E-15 -0.17068205E+01
      0.756034254015E-15  0.19292819E+00
      0.153609458775E-14  0.18502289E+00
      0.370005146023E-14 -0.25227773E+00

 Real time propagation step:               12
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.352966878576E-15 -0.13727779E+01
      0.330765118732E-15  0.27414796E+01
      0.418661933452E-16 -0.24001234E+01
      0.217190715351E-14 -0.14954511E+01
      0.756029234672E-15  0.21046296E+00
      0.153589772698E-14  0.20176567E+00
      0.614995785917E-14 -0.61367328E+00

 Real time propagation step:               13
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.358960261333E-15 -0.13701146E+01
      0.336650562606E-15  0.27497501E+01
      0.441325056793E-16 -0.23493623E+01
      0.225656260403E-14 -0.14868086E+01
      0.756023669345E-15  0.22799765E+00
      0.153567612426E-14  0.21849257E+00
      0.619649910478E-14 -0.61195568E+00

 Real time propagation step:               14
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx1-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.406579870188E-15 -0.14470330E+01
      0.239788787649E-15  0.27006122E+01
      0.438453643334E-16 -0.24337861E+01
