
 Real time propagation step:                1
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.269465252817E-17 -0.10810859E+01
      0.181079516413E-17  0.18387336E+01
      0.412084361773E-15  0.16080079E+01
      0.595751969938E-17 -0.15487084E+01
      0.258101880170E-29  0.28110104E-01
      0.100000000000E+01  0.17573269E-01
      0.117185380931E-15  0.15863073E+01

 Real time propagation step:                2
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.145747961517E-16 -0.82798893E+00
      0.101811344701E-16  0.19824424E+01
      0.234797412341E-14  0.16358312E+01
      0.339124997759E-16 -0.15283168E+01
      0.146499414847E-28  0.44328610E-01
      0.100000000000E+01  0.35146373E-01
      0.668609036497E-15  0.16029767E+01

 Real time propagation step:                3
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.154653346739E-16 -0.83246697E+00
      0.103602374886E-16  0.19882955E+01
      0.234341454923E-14  0.16544339E+01
      0.337381452736E-16 -0.15076813E+01
      0.153731941676E-28  0.68418879E-01
      0.100000000000E+01  0.52720065E-01
      0.670083107091E-15  0.16215012E+01

 Real time propagation step:                4
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.202342486585E-16 -0.13494388E+01
      0.545360587939E-17  0.13868781E+01
      0.385018685234E-15  0.15941745E+01
      0.539242283261E-17 -0.14890056E+01
      0.296924903615E-29  0.13128131E+00
      0.100000000000E+01  0.70294358E-01
      0.111623472875E-15  0.16542100E+01

 Real time propagation step:                5
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.646012890096E-16 -0.15494460E+01
      0.174296702580E-16  0.58087512E+00
      0.786333852315E-15 -0.12638842E+01
      0.113470689910E-16  0.16800843E+01
      0.477011022705E-29  0.15560369E+00
      0.100000000000E+01  0.87869036E-01
      0.212090383042E-15 -0.15174906E+01

 Real time propagation step:                6
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.137806041943E-15 -0.14222018E+01
      0.528126695687E-16  0.48591278E+00
      0.574774722333E-14 -0.12989141E+01
      0.831135718604E-16  0.16995304E+01
      0.593595209782E-28  0.13005044E+00
      0.100000000000E+01  0.10544373E+00
      0.160286285384E-14 -0.14886720E+01

 Real time propagation step:                7
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.183437245196E-15 -0.12714165E+01
      0.853574038063E-16  0.54186355E+00
      0.111949730828E-13 -0.12821203E+01
      0.161434068588E-15  0.17203544E+01
      0.189298063588E-27  0.13967516E+00
      0.100000000000E+01  0.12301805E+00
      0.314371652960E-14 -0.14697356E+01

 Real time propagation step:                8
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.187778595289E-15 -0.12492215E+01
      0.860671740157E-16  0.56353200E+00
      0.112328174276E-13 -0.12623944E+01
      0.161375122337E-15  0.17413867E+01
      0.188871493926E-27  0.15916853E+00
      0.100000000000E+01  0.14059175E+00
      0.316752322223E-14 -0.14513844E+01

 Real time propagation step:                9
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.221561645090E-15 -0.13758468E+01
      0.638809930286E-16  0.41028449E+00
      0.571675447612E-14 -0.12573078E+01
      0.815527568210E-16  0.17624237E+01
      0.598879534008E-28  0.19387089E+00
      0.100000000000E+01  0.15816482E+00
      0.161869339729E-14 -0.14304248E+01

 Real time propagation step:               10
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.347439448309E-15 -0.14413082E+01
      0.591271706251E-16  0.12994231E-01
      0.675190515525E-15 -0.13780718E+01
      0.911868100133E-17  0.17827935E+01
      0.465180128899E-29  0.33647317E+00
      0.100000000000E+01  0.17573748E+00
      0.188622457866E-15 -0.13867668E+01

 Real time propagation step:               11
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.513597775667E-15 -0.13727623E+01
      0.920910187352E-16 -0.28617849E+00
      0.692313001601E-15  0.22502573E+01
      0.943476251404E-17 -0.13348256E+01
      0.530812331508E-29  0.39103547E+00
      0.100000000000E+01  0.19331012E+00
      0.176988689359E-15  0.16869987E+01

 Real time propagation step:               12
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.607338597346E-15 -0.12746155E+01
      0.132661993815E-15 -0.35172485E+00
      0.339416586558E-14  0.21538469E+01
      0.477757800269E-16 -0.13140596E+01
      0.284251696724E-28  0.31592269E+00
      0.100000000000E+01  0.21088314E+00
      0.927451122011E-15  0.17277440E+01

 Real time propagation step:               13
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.620400966574E-15 -0.12481261E+01
      0.134435416822E-15 -0.32982981E+00
      0.350397948366E-14  0.21716337E+01
      0.489207107321E-16 -0.12921993E+01
      0.295262370483E-28  0.33750723E+00
      0.100000000000E+01  0.22845681E+00
      0.958144585735E-15  0.17462604E+01

 Real time propagation step:               14
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.686310188771E-15 -0.13085609E+01
      0.924433475501E-16 -0.35607270E+00
      0.780966556469E-15  0.22429009E+01
      0.104521107022E-16 -0.12673361E+01
      0.622395430955E-29  0.45808422E+00
      0.100000000000E+01  0.24603116E+00
      0.203202386901E-15  0.17535617E+01

 Real time propagation step:               15
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.903288831178E-15 -0.13442899E+01
      0.498095699109E-16 -0.61001154E+00
      0.592383800087E-15 -0.10429600E+01
      0.885384660025E-17  0.18828585E+01
      0.589253343247E-29  0.44896089E+00
      0.100000000000E+01  0.26360595E+00
      0.184734558116E-15 -0.13359501E+01

 Real time propagation step:               16
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.117639466138E-14 -0.12964171E+01
      0.438543162975E-16 -0.11008807E+01
      0.599398025174E-14 -0.94820936E+00
      0.857709835437E-16  0.19088337E+01
      0.731017478724E-28  0.33796327E+00
      0.100000000000E+01  0.28118076E+00
      0.177227410790E-14 -0.13319880E+01

 Real time propagation step:               17
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.132702527694E-14 -0.12230289E+01
      0.617240438975E-16 -0.13355725E+01
      0.123384369966E-13 -0.91150789E+00
      0.173618855335E-15  0.19309223E+01
      0.248899766667E-27  0.33109080E+00
      0.100000000000E+01  0.29875517E+00
      0.363734802235E-14 -0.13169034E+01

 Real time propagation step:               18
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.135036604047E-14 -0.11991574E+01
      0.624677384539E-16 -0.13170326E+01
      0.124944366985E-13 -0.89150840E+00
      0.172581272109E-15  0.19524362E+01
      0.256939948653E-27  0.34983639E+00
      0.100000000000E+01  0.31632889E+00
      0.371896275213E-14 -0.12986610E+01

 Real time propagation step:               19
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.145421759386E-14 -0.12382770E+01
      0.334592826058E-16 -0.12132290E+01
      0.616869502526E-14 -0.90714094E+00
      0.819140284498E-16  0.19735080E+01
      0.827850444791E-28  0.39245006E+00
      0.100000000000E+01  0.33390190E+00
      0.188875615919E-14 -0.12740452E+01

 Real time propagation step:               20
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.178397426120E-14 -0.12632650E+01
      0.455934270041E-17 -0.12242567E+01
      0.615416262799E-15 -0.12057533E+01
      0.567519025940E-17  0.19914775E+01
      0.965823636702E-29  0.54627543E+00
      0.100000000000E+01  0.35147444E+00
      0.198418006613E-15 -0.12019143E+01

 Real time propagation step:               21
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.219716960789E-14 -0.12254355E+01
      0.368191925985E-17  0.27224030E+01
      0.135023577276E-14  0.27532975E+01
      0.191733337425E-16 -0.11213838E+01
      0.158846374644E-28  0.57336792E+00
      0.100000000000E+01  0.36904696E+00
      0.264465348767E-15  0.18022027E+01

 Real time propagation step:               22
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.243197799658E-14 -0.11640341E+01
      0.187255249316E-16  0.26878348E+01
      0.526124784763E-14  0.26254912E+01
      0.749290479736E-16 -0.11011801E+01
      0.688884864829E-28  0.51157221E+00
      0.100000000000E+01  0.38661989E+00
      0.127889672073E-14  0.18578292E+01

 Real time propagation step:               23
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.247639855030E-14 -0.11389674E+01
      0.199131813008E-16  0.27093163E+01
      0.554067908782E-14  0.26416228E+01
      0.770292702429E-16 -0.10796896E+01
      0.752068940761E-28  0.52871789E+00
      0.100000000000E+01  0.40419354E+00
      0.135668293237E-14  0.18769599E+01

 Real time propagation step:               24
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.262018796004E-14 -0.11638105E+01
      0.871547319241E-17  0.22678088E+01
      0.165452552506E-14  0.27443739E+01
      0.214432982889E-16 -0.10569353E+01
      0.192938990100E-28  0.65102460E+00
      0.100000000000E+01  0.42176795E+00
      0.349050795536E-15  0.18735912E+01

 Real time propagation step:               25
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.307022547663E-14 -0.11819073E+01
      0.194021655206E-16  0.12698131E+01
      0.345293538962E-15 -0.89577882E+00
      0.508125289626E-17  0.20983426E+01
      0.114799819348E-28  0.71427851E+00
      0.100000000000E+01  0.43934285E+00
      0.147594941692E-15 -0.11479006E+01

 Real time propagation step:               26
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.363847068929E-14 -0.11513435E+01
      0.666622536327E-16  0.10998314E+01
      0.590171355362E-14 -0.58627470E+00
      0.858918078311E-16  0.21240251E+01
      0.990267816701E-28  0.55418475E+00
      0.100000000000E+01  0.45691780E+00
      0.193233852528E-14 -0.11770535E+01

 Real time propagation step:               27
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.396940903163E-14 -0.10996220E+01
      0.114401190690E-15  0.11441279E+01
      0.131562839432E-13 -0.52961244E+00
      0.187662050189E-15  0.21462570E+01
      0.335742134061E-27  0.53234666E+00
      0.100000000000E+01  0.47449230E+00
      0.416898838983E-14 -0.11657398E+01

 Real time propagation step:               28
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.404018779159E-14 -0.10764067E+01
      0.117480076620E-15  0.11666050E+01
      0.135188331768E-13 -0.50863033E+00
      0.189731142474E-15  0.21684175E+01
      0.355277760112E-27  0.55333161E+00
      0.100000000000E+01  0.49206605E+00
      0.432443004576E-14 -0.11476854E+01

 Real time propagation step:               29
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.423548586131E-14 -0.10947260E+01
      0.853211546910E-16  0.10117068E+01
      0.643226421026E-14 -0.54224884E+00
      0.875575330594E-16  0.21913059E+01
      0.121425309618E-27  0.60453626E+00
      0.100000000000E+01  0.50963899E+00
      0.217395193641E-14 -0.11198838E+01

 Real time propagation step:               30
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.483797862945E-14 -0.11093569E+01
      0.770966373587E-16  0.58287880E+00
      0.535440576419E-15 -0.10562451E+01
      0.413107202371E-17  0.22244665E+01
      0.212143259598E-28  0.75909206E+00
      0.100000000000E+01  0.52721141E+00
      0.198961628247E-15 -0.10173533E+01

 Real time propagation step:               31
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.560821574361E-14 -0.10832149E+01
      0.125705555387E-15  0.25689551E+00
      0.241395837131E-14 -0.31033476E+01
      0.299163957061E-16 -0.91529646E+00
      0.450115369916E-28  0.74698533E+00
      0.100000000000E+01  0.54478379E+00
      0.396665133595E-15  0.19298915E+01

 Real time propagation step:               32
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.607317608567E-14 -0.10368740E+01
      0.188501369415E-15  0.18669936E+00
      0.800513465086E-14  0.30604774E+01
      0.106029938958E-15 -0.89092603E+00
      0.165433099239E-27  0.68431602E+00
      0.100000000000E+01  0.56235662E+00
      0.176468680273E-14  0.19924648E+01

 Real time propagation step:               33
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.618261715382E-14 -0.10130392E+01
      0.195200557472E-15  0.20698871E+00
      0.855534400646E-14  0.30753155E+01
      0.111745487744E-15 -0.86879889E+00
      0.184649466603E-27  0.69699239E+00
      0.100000000000E+01  0.57993025E+00
      0.190965167588E-14  0.20120742E+01

 Real time propagation step:               34
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.642395585583E-14 -0.10250366E+01
      0.135972158310E-15  0.17492380E+00
      0.311590389967E-14 -0.31113853E+01
      0.375050881829E-16 -0.84780664E+00
      0.627971337792E-28  0.78599072E+00
      0.100000000000E+01  0.59750472E+00
      0.571745183679E-15  0.20046482E+01

 Real time propagation step:               35
  Projection on the MO number 6 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
