
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.177340953148E-23  0.29369932E+01
      0.100000000000E+01 -0.80549466E+00
      0.952692453128E-20  0.15461038E+01
      0.534784417445E-20  0.14144199E+01
      0.439249325503E-16  0.58512100E+00
      0.439127975968E-16 -0.25564715E+01
      0.127550455338E-20  0.14817493E+01

 Real time propagation step:               17
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.131336354262E-23 -0.28999962E+01
      0.100000000000E+01 -0.46313838E+00
      0.647711772327E-20  0.17608722E+01
      0.302303914855E-20  0.16406797E+01
      0.619189736282E-16  0.11787465E+01
      0.619018978515E-16 -0.19628458E+01
      0.649550937446E-21  0.17745823E+01

 Real time propagation step:               18
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.879536433774E-24 -0.24712338E+01
      0.100000000000E+01 -0.12078279E+00
      0.380832528746E-20  0.19910873E+01
      0.128202240333E-20  0.19168141E+01
      0.625839720671E-16  0.15204697E+01
      0.625667292063E-16 -0.16211226E+01
      0.242801801560E-21  0.22212383E+01

 Real time propagation step:               19
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.515880542272E-24 -0.20763323E+01
      0.100000000000E+01  0.22157209E+00
      0.175256429942E-20  0.22591612E+01
      0.287819518848E-21  0.24133788E+01
      0.334356532326E-16  0.17792976E+01
      0.334264452056E-16 -0.13622945E+01
      0.860107383119E-22 -0.30749969E+01

 Real time propagation step:               20
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.250302408991E-24 -0.17574497E+01
      0.100000000000E+01  0.56392650E+00
      0.480973788876E-21  0.26695430E+01
      0.122331969909E-21 -0.20842532E+01
      0.454214016964E-17  0.21663567E+01
      0.454089225461E-17 -0.97523440E+00
      0.180173488174E-21 -0.19305526E+01

 Real time propagation step:               21
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.975014343071E-25 -0.16475090E+01
      0.100000000000E+01  0.90628088E+00
      0.896352350805E-22 -0.21391540E+01
      0.780283636755E-21 -0.12584631E+01
      0.385865521907E-17 -0.14656209E+01
      0.385759849306E-17  0.16759702E+01
      0.498631582293E-21 -0.14124546E+01

 Real time propagation step:               22
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.570876578503E-25 -0.19985163E+01
      0.100000000000E+01  0.12486357E+01
      0.591104332643E-21 -0.91494764E+00
      0.217291746671E-20 -0.93418376E+00
      0.191134889021E-16 -0.10614258E+01
      0.191082296283E-16  0.20801662E+01
      0.991928700098E-21 -0.10932936E+01

 Real time propagation step:               23
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.120257915477E-24 -0.22162249E+01
      0.100000000000E+01  0.15909912E+01
      0.192023071020E-20 -0.53688328E+00
      0.414129204884E-20 -0.68981788E+00
      0.203186675498E-16 -0.72262871E+00
      0.203130665886E-16  0.24189633E+01
      0.159587876164E-20 -0.83571672E+00

 Real time propagation step:               24
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.274461575143E-24 -0.20230745E+01
      0.100000000000E+01  0.19333475E+01
      0.393995646154E-20 -0.27232136E+00
      0.647340116737E-20 -0.47036816E+00
      0.885703186087E-17  0.69359620E-01
      0.885457838461E-17 -0.30722333E+01
      0.223908447459E-20 -0.60291121E+00

 Real time propagation step:               25
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.506383744829E-24 -0.16785816E+01
      0.100000000000E+01  0.22757043E+01
      0.645516463901E-20 -0.39508943E-01
      0.892603601482E-20 -0.26130799E+00
      0.191263481476E-16  0.14344601E+01
      0.191210749449E-16 -0.17071319E+01
      0.285038761103E-20 -0.38163528E+00

 Real time propagation step:               26
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.802519479862E-24 -0.12780405E+01
      0.100000000000E+01  0.26180611E+01
      0.923071640285E-20  0.18055563E+00
      0.112487663379E-19 -0.57146016E-01
      0.660426736486E-16  0.19702402E+01
      0.660245093103E-16 -0.11713521E+01
      0.336539018665E-20 -0.16594601E+00

 Real time propagation step:               27
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.114439797579E-23 -0.85264824E+00
      0.100000000000E+01  0.29604174E+01
      0.120120073401E-19  0.39456638E+00
      0.132076079627E-19  0.14472483E+00
      0.113642083039E-15  0.22869849E+01
      0.113610843408E-15 -0.85460747E+00
      0.373202944844E-20  0.47381236E-01

 Real time propagation step:               28
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.151135391365E-23 -0.41351324E+00
