
 Real time propagation step:                1
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
  For each TD MOs required is printed: Population & Phase [rad] 
      0.253220558210E-21  0.49149644E+00
      0.542260748272E-20  0.12600409E+01
      0.870984165457E-18  0.20816130E+01
      0.100000000000E+01  0.34260268E+00
      0.857729453159E-16 -0.12850415E+01
      0.857529198413E-16  0.18565406E+01
      0.797337758121E-19  0.18529344E+01

 Real time propagation step:               17
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.191549735863E-21  0.70162783E+00
      0.307835977754E-20  0.13946688E+01
      0.976273687128E-18  0.21133051E+01
      0.100000000000E+01  0.36401596E+00
      0.173633750920E-15 -0.12681440E+01
      0.173591478497E-15  0.18734405E+01
      0.915306860886E-19  0.18701588E+01

 Real time propagation step:               18
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.118869480869E-21  0.84140183E+00
      0.131832493446E-20  0.14768729E+01
      0.108613107941E-17  0.21449431E+01
      0.100000000000E+01  0.38542855E+00
      0.172594061094E-15 -0.12506708E+01
      0.172552378122E-15  0.18909127E+01
      0.104278408697E-18  0.18873614E+01

 Real time propagation step:               19
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.618011259621E-22  0.82245243E+00
      0.308611442699E-21  0.13340542E+01
      0.120024863303E-17  0.21765227E+01
      0.100000000000E+01  0.40684043E+00
      0.819114006210E-16 -0.12327534E+01
      0.818930384592E-16  0.19088245E+01
      0.117979193690E-18  0.19045461E+01

 Real time propagation step:               20
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.379083000350E-22  0.51760937E+00
      0.133822806653E-21 -0.15733087E-01
      0.131831002611E-17  0.22080382E+01
      0.100000000000E+01  0.42825184E+00
      0.566980260639E-17 -0.12117013E+01
      0.566938177746E-17  0.19298292E+01
      0.132627970047E-18  0.19217295E+01

 Real time propagation step:               21
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.496092915636E-22  0.16722788E+00
      0.790500981688E-21 -0.50102526E+00
      0.143998586357E-17  0.22394832E+01
      0.100000000000E+01  0.44966322E+00
      0.191921654352E-16  0.19400670E+01
      0.191846942742E-16 -0.12014890E+01
      0.148208468037E-18  0.19389248E+01

 Real time propagation step:               22
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.856866605504E-22  0.87539358E-01
      0.219097533731E-20 -0.47207794E+00
      0.156494040385E-17  0.22708514E+01
      0.100000000000E+01  0.47107503E+00
      0.749779467015E-16  0.19588600E+01
      0.749528039263E-16 -0.11827123E+01
      0.164692380063E-18  0.19561345E+01

 Real time propagation step:               23
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.127800510542E-21  0.17115142E+00
      0.417518208621E-20 -0.35734084E+00
      0.169283436975E-17  0.23021370E+01
      0.100000000000E+01  0.49248755E+00
      0.770805023636E-16  0.19763547E+01
      0.770545220240E-16 -0.11652161E+01
      0.182040086186E-18  0.19733594E+01

 Real time propagation step:               24
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.158608003472E-21  0.31607033E+00
      0.652956694591E-20 -0.21568488E+00
      0.182332049220E-17  0.23333330E+01
      0.100000000000E+01  0.51390083E+00
      0.214656469324E-16  0.19925720E+01
      0.214571259039E-16 -0.11489759E+01
      0.200201158031E-18  0.19906067E+01

 Real time propagation step:               25
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.167938322101E-21  0.47493111E+00
      0.900856244815E-20 -0.62772406E-01
      0.195604340565E-17  0.23644325E+01
      0.100000000000E+01  0.53531460E+00
      0.507441893082E-17 -0.11236088E+01
      0.507432123359E-17  0.20178841E+01
      0.219114911821E-18  0.20078906E+01

 Real time propagation step:               26
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.155372833659E-21  0.61931670E+00
      0.113588617701E-19  0.95479409E-01
      0.209064703843E-17  0.23954292E+01
      0.100000000000E+01  0.55672842E+00
      0.858807232364E-16 -0.11103601E+01
      0.858625359961E-16  0.20312067E+01
      0.238712870786E-18  0.20252202E+01

 Real time propagation step:               27
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.129026269338E-21  0.72418549E+00
      0.133437153207E-19  0.25628116E+00
      0.222678435234E-17  0.24263186E+01
      0.100000000000E+01  0.57814179E+00
      0.187661098587E-15 -0.10936096E+01
      0.187617557195E-15  0.20479644E+01
      0.258921056646E-18  0.20425944E+01

 Real time propagation step:               28
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.100920584933E-21  0.76451199E+00
      0.147648366844E-19  0.41801564E+00
      0.236413265615E-17  0.24570982E+01
      0.100000000000E+01  0.59955441E+00
      0.189728980704E-15 -0.10767832E+01
      0.189684914512E-15  0.20647897E+01
      0.279658404950E-18  0.20600092E+01

 Real time propagation step:               29
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.812910642793E-22  0.72777733E+00
      0.154820915617E-19  0.57955368E+00
      0.250240235132E-17  0.24877664E+01
      0.100000000000E+01  0.62096622E+00
