#      omega [at.u.] real pol. elem. 1 1 imag pol. elem. 1 1
    -0.75991492E+001    -0.47851481E+000    -0.30117784E-006
    -0.75915501E+001    -0.47851457E+000     0.47766789E-005
    -0.75839509E+001    -0.47852082E+000     0.94866748E-005
    -0.75763518E+001    -0.47852793E+000     0.11493591E-004
    -0.75687526E+001    -0.47853549E+000     0.16808800E-004
    -0.75611535E+001    -0.47855001E+000     0.24622788E-004
    -0.75535543E+001    -0.47856905E+000     0.27051301E-004
    -0.75459552E+001    -0.47858584E+000     0.32237874E-004
    -0.75383560E+001    -0.47861043E+000     0.38260803E-004
    -0.75307569E+001    -0.47863713E+000     0.40246935E-004
    -0.75231577E+001    -0.47866327E+000     0.43937447E-004
    -0.75155586E+001    -0.47869420E+000     0.49529393E-004
    -0.75079594E+001    -0.47872984E+000     0.51461722E-004
    -0.75003603E+001    -0.47876288E+000     0.53752506E-004
    -0.74927611E+001    -0.47880231E+000     0.60054541E-004
    -0.74851620E+001    -0.47884410E+000     0.62325770E-004
    -0.74775628E+001    -0.47888565E+000     0.65901773E-004
    -0.74699637E+001    -0.47893200E+000     0.72365195E-004
    -0.74623645E+001    -0.47898290E+000     0.77645048E-004
    -0.74547654E+001    -0.47903418E+000     0.81149362E-004
    -0.74471662E+001    -0.47909097E+000     0.88768778E-004
    -0.74395671E+001    -0.47915254E+000     0.91287701E-004
    -0.74319679E+001    -0.47921318E+000     0.93609615E-004
    -0.74243688E+001    -0.47927793E+000     0.98392519E-004
    -0.74167696E+001    -0.47934599E+000     0.10107531E-003
    -0.74091705E+001    -0.47941428E+000     0.10225515E-003
    -0.74015714E+001    -0.47948493E+000     0.10857729E-003
    -0.73939722E+001    -0.47956194E+000     0.11225729E-003
    -0.73863731E+001    -0.47963749E+000     0.11550320E-003
    -0.73787739E+001    -0.47971905E+000     0.12258651E-003
    -0.73711748E+001    -0.47980649E+000     0.12685102E-003
    -0.73635756E+001    -0.47989404E+000     0.12963517E-003
    -0.73559765E+001    -0.47998352E+000     0.13529145E-003
    -0.73483773E+001    -0.48008130E+000     0.13954938E-003
    -0.73407782E+001    -0.48017743E+000     0.14083583E-003
    -0.73331790E+001    -0.48027704E+000     0.14660534E-003
    -0.73255799E+001    -0.48038359E+000     0.14971801E-003
    -0.73179807E+001    -0.48048994E+000     0.15086816E-003
    -0.73103816E+001    -0.48059794E+000     0.15475954E-003
    -0.73027824E+001    -0.48071393E+000     0.16001654E-003
    -0.72951833E+001    -0.48083122E+000     0.16031588E-003
    -0.72875841E+001    -0.48095074E+000     0.16573291E-003
    -0.72799850E+001    -0.48108126E+000     0.17130269E-003
    -0.72723858E+001    -0.48121551E+000     0.17307324E-003
    -0.72647867E+001    -0.48135392E+000     0.17605277E-003
    -0.72571875E+001    -0.48150267E+000     0.17944496E-003
    -0.72495884E+001    -0.48166012E+000     0.17558777E-003
    -0.72419892E+001    -0.48182319E+000     0.17260158E-003
    -0.72343901E+001    -0.48200642E+000     0.16817423E-003
    -0.72267909E+001    -0.48221192E+000     0.15228966E-003
    -0.72191918E+001    -0.48245332E+000     0.12375539E-003
