     0.00000000E+000     0.22422123E-002     0.98757931E-017    -0.11560264E-004     0.17230645E-012    -0.34745656E-004     0.29806724E-011
     0.75953516E-002     0.22429641E-002     0.55712780E-006    -0.36127451E-005    -0.51290554E-005    -0.10244050E-004    -0.16038214E-004
     0.15190703E-001     0.22452544E-002     0.11150902E-005    -0.13949939E-005    -0.34517936E-005    -0.28653281E-005    -0.10457756E-004
     0.22786055E-001     0.22490806E-002     0.16906928E-005    -0.63572019E-006    -0.24936505E-005    -0.79157187E-006    -0.66650037E-005
     0.30381406E-001     0.22544814E-002     0.22755404E-005    -0.33876390E-006    -0.18262024E-005    -0.11020950E-005    -0.46042407E-005
     0.37976758E-001     0.22614940E-002     0.28866457E-005    -0.42913578E-006    -0.14606535E-005    -0.11288543E-005    -0.42433106E-005
     0.45572109E-001     0.22701817E-002     0.35259354E-005    -0.41921626E-006    -0.12746086E-005    -0.98983676E-006    -0.37961705E-005
     0.53167461E-001     0.22806034E-002     0.42130648E-005    -0.36847148E-006    -0.12298565E-005    -0.37201504E-006    -0.38273861E-005
     0.60762812E-001     0.22928472E-002     0.49463267E-005    -0.27196618E-006    -0.11950226E-005     0.66026558E-006    -0.29294083E-005
     0.68358164E-001     0.23070172E-002     0.57403052E-005    -0.21807241E-006    -0.10610829E-005     0.57832337E-008    -0.16473295E-005
     0.75953516E-001     0.23232471E-002     0.66050885E-005    -0.14278732E-006    -0.10910253E-005    -0.62576285E-006    -0.18462155E-005
     0.83548867E-001     0.23416847E-002     0.75576742E-005     0.49093481E-007    -0.98992914E-006    -0.81852214E-006    -0.16057602E-005
     0.91144219E-001     0.23625316E-002     0.86167981E-005     0.30818330E-007    -0.77152195E-006    -0.12429457E-005    -0.25239552E-005
     0.98739570E-001     0.23859974E-002     0.98129726E-005     0.23369403E-007    -0.76448113E-006    -0.11832153E-006    -0.24424912E-005
     0.10633492E+000     0.24123763E-002     0.11162502E-004     0.66502545E-007    -0.74902849E-006    -0.30171018E-006    -0.24745087E-005
     0.11393027E+000     0.24419992E-002     0.12724768E-004     0.16574233E-006    -0.53792884E-006     0.58399484E-006    -0.21575858E-005
     0.12152562E+000     0.24752863E-002     0.14533547E-004     0.39284357E-007    -0.56548916E-006     0.24925902E-006    -0.13448444E-005
     0.12912098E+000     0.25127677E-002     0.16668646E-004     0.98572523E-007    -0.45605776E-006    -0.12288502E-006    -0.16398535E-005
     0.13671633E+000     0.25551100E-002     0.19218279E-004     0.71888595E-007    -0.36616059E-006     0.21810977E-006    -0.91759239E-006
     0.14431168E+000     0.26031729E-002     0.22318153E-004    -0.97998892E-007    -0.33906136E-006    -0.50257503E-006    -0.14759657E-005
     0.15190703E+000     0.26580887E-002     0.26151410E-004    -0.13808794E-006    -0.47351190E-006    -0.38859784E-006    -0.14887118E-005
     0.15950238E+000     0.27213791E-002     0.31005913E-004    -0.96821941E-008    -0.54070615E-006    -0.37601809E-006    -0.23091637E-005
     0.16709773E+000     0.27951381E-002     0.37311150E-004     0.14729853E-006    -0.49892880E-006     0.11533860E-005    -0.21155922E-005
     0.17469309E+000     0.28823469E-002     0.45808754E-004     0.13770426E-006    -0.34103039E-006     0.12390424E-005    -0.38781213E-006
     0.18228844E+000     0.29870685E-002     0.57558075E-004     0.85941668E-007    -0.25775233E-006    -0.57174634E-006     0.14882504E-006
     0.18988379E+000     0.31167088E-002     0.74260852E-004     0.43523456E-007    -0.17675824E-006    -0.11572222E-005    -0.79221585E-006
     0.19747914E+000     0.32822329E-002     0.10023869E-003    -0.22537532E-007    -0.16010439E-006    -0.90549612E-006    -0.24299024E-005
     0.20507449E+000     0.35033212E-002     0.14358285E-003    -0.17863639E-006    -0.34699865E-007    -0.63150410E-007    -0.18740051E-005
     0.21266984E+000     0.38182898E-002     0.22420835E-003    -0.34713819E-006    -0.30995006E-006     0.25079504E-007    -0.24273082E-005
     0.22026520E+000     0.43109632E-002     0.40101994E-003    -0.13759573E-006    -0.35761514E-006     0.80725898E-006    -0.23007714E-005
