#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.64560488E+000     0.17567802E+002    -0.10082978E+002     0.21020160E+002
     0.65320023E+000     0.17774482E+002     0.21837134E+002     0.45044580E+002
     0.66079559E+000     0.17981162E+002    -0.45396471E+002     0.11871171E+003
     0.66839094E+000     0.18187842E+002    -0.71000774E+002     0.33264274E+002
     0.67598629E+000     0.18394522E+002    -0.47095955E+002     0.14501609E+002
     0.68358164E+000     0.18601202E+002    -0.32094254E+002     0.15663763E+002
     0.69117699E+000     0.18807882E+002    -0.39215755E+002     0.15240550E+002
     0.69877234E+000     0.19014562E+002    -0.31612843E+002     0.62587849E+001
     0.70636769E+000     0.19221242E+002    -0.24421698E+002     0.52704608E+001
     0.71396305E+000     0.19427923E+002    -0.23360281E+002     0.83854423E+001
     0.72155840E+000     0.19634603E+002    -0.22018362E+002     0.35545868E+001
     0.72915375E+000     0.19841283E+002    -0.18248069E+002     0.21778432E+001
     0.73674910E+000     0.20047963E+002    -0.15309630E+002     0.16949981E+001
     0.74434445E+000     0.20254643E+002    -0.12789187E+002     0.14547579E+001
     0.75193980E+000     0.20461323E+002    -0.10530770E+002     0.13844523E+001
     0.75953516E+000     0.20668003E+002    -0.83539464E+001     0.14169821E+001
     0.76713051E+000     0.20874683E+002    -0.60527678E+001     0.17156176E+001
     0.77472586E+000     0.21081363E+002    -0.37074451E+001     0.33622599E+001
     0.78232121E+000     0.21288043E+002    -0.52471929E+001     0.35761447E+001
     0.78991656E+000     0.21494723E+002    -0.27179066E+001     0.20236959E+001
     0.79751191E+000     0.21701403E+002     0.15006244E+000     0.19825493E+001
     0.80510726E+000     0.21908083E+002     0.34195105E+001     0.23707733E+001
     0.81270262E+000     0.22114763E+002     0.88375884E+001     0.36315235E+001
     0.82029797E+000     0.22321443E+002     0.10724419E+002     0.95223416E+001
     0.82789332E+000     0.22528123E+002     0.18949915E+002     0.12972089E+002
     0.83548867E+000     0.22734803E+002     0.16896009E+002     0.40230425E+002
     0.84308402E+000     0.22941483E+002     0.50968645E+001     0.28639645E+002
     0.85067937E+000     0.23148163E+002    -0.44789169E+000     0.67730694E+002
     0.85827473E+000     0.23354843E+002    -0.44289527E+002     0.29941198E+002
     0.86587008E+000     0.23561523E+002    -0.34399150E+002     0.10527300E+002
     0.87346543E+000     0.23768203E+002    -0.25771983E+002     0.44757577E+001
     0.88106078E+000     0.23974883E+002    -0.20193332E+002     0.16377513E+001
     0.88865613E+000     0.24181563E+002    -0.15442861E+002     0.17726120E+001
     0.89625148E+000     0.24388243E+002    -0.14329777E+002     0.22779081E+001
     0.90384683E+000     0.24594923E+002    -0.12595577E+002     0.11492728E+001
     0.91144219E+000     0.24801603E+002    -0.10890760E+002     0.80793401E+000
     0.91903754E+000     0.25008283E+002    -0.95021588E+001     0.64426932E+000
     0.92663289E+000     0.25214963E+002    -0.83151539E+001     0.54437174E+000
     0.93422824E+000     0.25421643E+002    -0.72625731E+001     0.47913038E+000
     0.94182359E+000     0.25628323E+002    -0.63002603E+001     0.43884200E+000
     0.94941894E+000     0.25835003E+002    -0.53924312E+001     0.42767386E+000
     0.95701430E+000     0.26041683E+002    -0.45325104E+001     0.50837098E+000
     0.96460965E+000     0.26248363E+002    -0.38948538E+001     0.48330658E+000
     0.97220500E+000     0.26455043E+002    -0.30435784E+001     0.41713999E+000
     0.97980035E+000     0.26661723E+002    -0.21643944E+001     0.44329711E+000
     0.98739570E+000     0.26868403E+002    -0.12065356E+001     0.54436027E+000
     0.99499105E+000     0.27075083E+002    -0.50265275E-001     0.87335599E+000
     0.10025864E+001     0.27281764E+002     0.93785098E+000     0.24248322E+001
     0.10101818E+001     0.27488444E+002    -0.22115820E+000     0.19485101E+001
     0.10177771E+001     0.27695124E+002     0.15809858E+001     0.21377005E+001
     0.10253725E+001     0.27901804E+002     0.52300170E+000     0.29880341E+001
     0.10329678E+001     0.28108484E+002     0.17657346E+001     0.24871407E+001
     0.10405632E+001     0.28315164E+002     0.26814140E+001     0.19983496E+001
     0.10481585E+001     0.28521844E+002     0.55162413E+001     0.36257503E+001
     0.10557539E+001     0.28728524E+002     0.10968590E+001     0.94691601E+001
