#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.27647080E+001     0.75231530E+002    -0.16721893E+001     0.54216219E-001
     0.27723033E+001     0.75438210E+002    -0.16459304E+001     0.52753869E-002
     0.27798987E+001     0.75644890E+002    -0.16398782E+001    -0.78036484E-002
     0.27874940E+001     0.75851570E+002    -0.16462127E+001    -0.15222956E-001
     0.27950894E+001     0.76058250E+002    -0.16638782E+001    -0.23533694E-001
     0.28026847E+001     0.76264930E+002    -0.16976313E+001    -0.37337291E-001
     0.28102801E+001     0.76471610E+002    -0.17604715E+001    -0.66468522E-001
     0.28178754E+001     0.76678290E+002    -0.18855880E+001    -0.14688731E+000
     0.28254708E+001     0.76884970E+002    -0.21302677E+001    -0.49063482E+000
     0.28330661E+001     0.77091650E+002    -0.11972334E+001    -0.14573355E+001
     0.28406615E+001     0.77298330E+002    -0.75527492E+000    -0.38210056E+000
     0.28482568E+001     0.77505010E+002    -0.97189233E+000    -0.13108778E+000
     0.28558522E+001     0.77711690E+002    -0.10783507E+001    -0.64671448E-001
     0.28634475E+001     0.77918370E+002    -0.11328868E+001    -0.38812747E-001
     0.28710429E+001     0.78125050E+002    -0.11628037E+001    -0.26345131E-001
     0.28786382E+001     0.78331730E+002    -0.11797515E+001    -0.19722248E-001
     0.28862336E+001     0.78538410E+002    -0.11897048E+001    -0.16519535E-001
     0.28938289E+001     0.78745090E+002    -0.11969801E+001    -0.17004964E-001
     0.29014243E+001     0.78951770E+002    -0.12061211E+001    -0.29073098E-001
     0.29090196E+001     0.79158450E+002    -0.11678051E+001    -0.79456317E-001
     0.29166150E+001     0.79365130E+002    -0.11264740E+001    -0.26350547E-001
     0.29242103E+001     0.79571810E+002    -0.11289372E+001    -0.11043715E-001
     0.29318057E+001     0.79778490E+002    -0.11245087E+001    -0.72778262E-002
     0.29394011E+001     0.79985170E+002    -0.11159358E+001    -0.91760596E-002
     0.29469964E+001     0.80191850E+002    -0.10937024E+001    -0.84578421E-002
     0.29545918E+001     0.80398530E+002    -0.10795592E+001    -0.22862696E-002
     0.29621871E+001     0.80605210E+002    -0.10634884E+001    -0.89646527E-004
     0.29697825E+001     0.80811890E+002    -0.10447035E+001     0.14842060E-002
     0.29773778E+001     0.81018570E+002    -0.10233241E+001     0.30116070E-002
     0.29849732E+001     0.81225250E+002    -0.99915826E+000     0.47054820E-002
     0.29925685E+001     0.81431931E+002    -0.97177795E+000     0.67041077E-002
     0.30001639E+001     0.81638611E+002    -0.94048222E+000     0.91797341E-002
     0.30077592E+001     0.81845291E+002    -0.90426053E+000     0.12393079E-001
     0.30153546E+001     0.82051971E+002    -0.86163169E+000     0.16709056E-001
     0.30229499E+001     0.82258651E+002    -0.81030709E+000     0.22734060E-001
     0.30305453E+001     0.82465331E+002    -0.74671137E+000     0.31586851E-001
     0.30381406E+001     0.82672011E+002    -0.66495312E+000     0.45347576E-001
     0.30457360E+001     0.82878691E+002    -0.55450078E+000     0.68411466E-001
     0.30533313E+001     0.83085371E+002    -0.39496107E+000     0.11143777E+000
     0.30609267E+001     0.83292051E+002    -0.14196880E+000     0.20530192E+000
     0.30685220E+001     0.83498731E+002     0.31406402E+000     0.46974973E+000
     0.30761174E+001     0.83705411E+002     0.11438717E+001     0.16304989E+001
     0.30837127E+001     0.83912091E+002    -0.20457319E+001     0.44465102E+001
     0.30913081E+001     0.84118771E+002    -0.30545764E+001     0.11307318E+001
     0.30989034E+001     0.84325451E+002    -0.23440415E+001     0.39666799E+000
     0.31064988E+001     0.84532131E+002    -0.19681136E+001     0.19779746E+000
     0.31140941E+001     0.84738811E+002    -0.17475393E+001     0.11946331E+000
     0.31216895E+001     0.84945491E+002    -0.16006189E+001     0.81659133E-001
     0.31292848E+001     0.85152171E+002    -0.14922178E+001     0.61667523E-001
     0.31368802E+001     0.85358851E+002    -0.14041822E+001     0.52074732E-001
     0.31444755E+001     0.85565531E+002    -0.13237346E+001     0.52995353E-001
     0.31520709E+001     0.85772211E+002    -0.12364067E+001     0.81680564E-001
     0.31596662E+001     0.85978891E+002    -0.12147796E+001     0.24823724E+000
     0.31672616E+001     0.86185571E+002    -0.13884629E+001     0.12224159E+000
     0.31748569E+001     0.86392251E+002    -0.13099613E+001     0.42017419E-001
     0.31824523E+001     0.86598931E+002    -0.12561190E+001     0.18835096E-001
     0.31900477E+001     0.86805611E+002    -0.12055776E+001    -0.68587727E-002
     0.31976430E+001     0.87012291E+002    -0.11590919E+001     0.30225426E-002
     0.32052384E+001     0.87218971E+002    -0.11395377E+001    -0.35912804E-002
     0.32128337E+001     0.87425651E+002    -0.11119765E+001    -0.53837973E-001
     0.32204291E+001     0.87632331E+002    -0.10008479E+001    -0.30351572E-001
     0.32280244E+001     0.87839011E+002    -0.98482014E+000     0.13331345E-002
     0.32356198E+001     0.88045691E+002    -0.96347326E+000     0.79935544E-002
     0.32432151E+001     0.88252371E+002    -0.93682626E+000     0.10559123E-001
     0.32508105E+001     0.88459051E+002    -0.90692468E+000     0.12232981E-001
     0.32584058E+001     0.88665731E+002    -0.87423747E+000     0.13811801E-001
     0.32660012E+001     0.88872411E+002    -0.83855620E+000     0.15640891E-001
     0.32735965E+001     0.89079091E+002    -0.79927944E+000     0.17977370E-001
     0.32811919E+001     0.89285772E+002    -0.75537864E+000     0.21135698E-001
     0.32887872E+001     0.89492452E+002    -0.70517754E+000     0.25688902E-001
     0.32963826E+001     0.89699132E+002    -0.64578413E+000     0.33019035E-001
     0.33039779E+001     0.89905812E+002    -0.57152333E+000     0.47874320E-001
     0.33115733E+001     0.90112492E+002    -0.47654445E+000     0.98196573E-001
     0.33191686E+001     0.90319172E+002    -0.49599591E+000     0.15968062E+000
     0.33267640E+001     0.90525852E+002    -0.37846334E+000     0.10455342E+000
     0.33343593E+001     0.90732532E+002    -0.18568776E+000     0.13800613E+000
     0.33419547E+001     0.90939212E+002     0.97965160E-001     0.26234818E+000
     0.33495500E+001     0.91145892E+002     0.58029211E+000     0.75800267E+000
     0.33571454E+001     0.91352572E+002    -0.49211560E+000     0.24526228E+001
     0.33647407E+001     0.91559252E+002    -0.13468217E+001     0.72536407E+000
     0.33723361E+001     0.91765932E+002    -0.70892628E+000     0.34303940E+000
     0.33799314E+001     0.91972612E+002    -0.19727918E+000     0.35930258E+000
     0.33875268E+001     0.92179292E+002     0.47513131E+000     0.64044738E+000
     0.33951221E+001     0.92385972E+002     0.15603290E+001     0.20310279E+001
     0.34027175E+001     0.92592652E+002    -0.23972113E+001     0.54345148E+001
     0.34103128E+001     0.92799332E+002    -0.31931315E+001     0.12072108E+001
     0.34179082E+001     0.93006012E+002    -0.22614256E+001     0.50393879E+000
     0.34255036E+001     0.93212692E+002    -0.17281827E+001     0.31909863E+000
     0.34330989E+001     0.93419372E+002    -0.13149082E+001     0.28605229E+000
     0.34406943E+001     0.93626052E+002    -0.87508663E+000     0.37500775E+000
     0.34482896E+001     0.93832732E+002    -0.23947532E+000     0.80188943E+000
     0.34558850E+001     0.94039412E+002     0.55196558E-001     0.29150169E+001
     0.34634803E+001     0.94246092E+002    -0.36205792E+001     0.21698275E+001
     0.34710757E+001     0.94452772E+002    -0.29352147E+001     0.57304211E+000
     0.34786710E+001     0.94659452E+002    -0.24320284E+001     0.24624997E+000
     0.34862664E+001     0.94866132E+002    -0.21523823E+001     0.13725055E+000
     0.34938617E+001     0.95072812E+002    -0.19760059E+001     0.87684130E-001
     0.35014571E+001     0.95279492E+002    -0.18543932E+001     0.60308031E-001
     0.35090524E+001     0.95486172E+002    -0.17660305E+001     0.42841201E-001
     0.35166478E+001     0.95692852E+002    -0.17004990E+001     0.30136200E-001
     0.35242431E+001     0.95899532E+002    -0.16528666E+001     0.19377949E-001
     0.35318385E+001     0.96106212E+002    -0.16217350E+001     0.82866555E-002
     0.35394338E+001     0.96312892E+002    -0.16094090E+001    -0.63254288E-002
     0.35470292E+001     0.96519572E+002    -0.16245391E+001    -0.32008133E-001
     0.35546245E+001     0.96726252E+002    -0.16911301E+001    -0.95360901E-001
     0.35622199E+001     0.96932933E+002    -0.18569762E+001    -0.34586559E+000
     0.35698152E+001     0.97139613E+002    -0.12226703E+001    -0.12088365E+001
     0.35774106E+001     0.97346293E+002    -0.67467464E+000    -0.32852913E+000
     0.35850059E+001     0.97552973E+002    -0.83746642E+000    -0.93343682E-001
     0.35926013E+001     0.97759653E+002    -0.90263437E+000    -0.23716027E-001
     0.36001966E+001     0.97966333E+002    -0.96038790E+000     0.25361359E-001
     0.36077920E+001     0.98173013E+002    -0.97529931E+000     0.49144163E-002
     0.36153873E+001     0.98379693E+002    -0.96135683E+000     0.47586087E-002
     0.36229827E+001     0.98586373E+002    -0.94233202E+000     0.84434888E-002
     0.36305780E+001     0.98793053E+002    -0.91851093E+000     0.11645774E-001
     0.36381734E+001     0.98999733E+002    -0.88750246E+000     0.15784138E-001
     0.36457687E+001     0.99206413E+002    -0.84883829E+000     0.21576088E-001
     0.36533641E+001     0.99413093E+002    -0.79958915E+000     0.30110644E-001
     0.36609594E+001     0.99619773E+002    -0.73424342E+000     0.43882434E-001
     0.36685548E+001     0.99826453E+002    -0.64199282E+000     0.68790806E-001
     0.36761502E+001     0.10003313E+003    -0.49954933E+000     0.12125304E+000
     0.36837455E+001     0.10023981E+003    -0.25169568E+000     0.25986014E+000
     0.36913409E+001     0.10044649E+003     0.22056240E+000     0.80391196E+000
     0.36989362E+001     0.10065317E+003    -0.93052303E+000     0.29559444E+001
     0.37065316E+001     0.10085985E+003    -0.25348226E+001     0.87232591E+000
     0.37141269E+001     0.10106653E+003    -0.20950203E+001     0.20099692E+000
     0.37217223E+001     0.10127321E+003    -0.19682291E+001    -0.90624572E-001
     0.37293176E+001     0.10147989E+003    -0.18500361E+001    -0.86368391E+000
     0.37369130E+001     0.10168657E+003    -0.52079525E+000    -0.55905231E+000
     0.37445083E+001     0.10189325E+003    -0.61265380E+000    -0.10237314E-001
     0.37521037E+001     0.10209993E+003    -0.88428729E+000     0.11378911E+000
     0.37596990E+001     0.10230661E+003    -0.87960145E+000     0.30217496E-001
     0.37672944E+001     0.10251329E+003    -0.83884628E+000     0.20857570E-001
     0.37748897E+001     0.10271997E+003    -0.79606123E+000     0.21803286E-001
     0.37824851E+001     0.10292665E+003    -0.74808614E+000     0.25332713E-001
     0.37900804E+001     0.10313333E+003    -0.69256740E+000     0.30605204E-001
     0.37976758E+001     0.10334001E+003    -0.62670447E+000     0.38027797E-001
     0.38052711E+001     0.10354669E+003    -0.54650984E+000     0.48549935E-001
     0.38128665E+001     0.10375337E+003    -0.44596426E+000     0.63260265E-001
     0.38204618E+001     0.10396005E+003    -0.31268268E+000     0.78429253E-001
     0.38280572E+001     0.10416673E+003    -0.91421576E-001     0.12278327E+000
     0.38356525E+001     0.10437341E+003     0.19690910E+000     0.23147065E+000
     0.38432479E+001     0.10458009E+003     0.68053891E+000     0.45294929E+000
     0.38508432E+001     0.10478677E+003     0.16004705E+001     0.11453534E+001
     0.38584386E+001     0.10499345E+003     0.26707134E+001     0.46100049E+001
     0.38660339E+001     0.10520013E+003    -0.49315511E+001     0.50628752E+001
     0.38736293E+001     0.10540681E+003    -0.40747108E+001     0.12244235E+001
     0.38812246E+001     0.10561349E+003    -0.31439470E+001     0.46094134E+000
     0.38888200E+001     0.10582017E+003    -0.26948471E+001     0.20256601E+000
     0.38964153E+001     0.10602685E+003    -0.25013025E+001     0.36918170E-001
     0.39040107E+001     0.10623353E+003    -0.25078650E+001    -0.29116572E+000
     0.39116061E+001     0.10644021E+003    -0.16506062E+001    -0.11326641E+001
     0.39192014E+001     0.10664689E+003    -0.11102197E+001    -0.27433100E+000
     0.39267968E+001     0.10685357E+003    -0.12045469E+001    -0.57139810E-001
     0.39343921E+001     0.10706025E+003    -0.12083939E+001     0.56610900E-002
     0.39419875E+001     0.10726693E+003    -0.11473131E+001     0.66176100E-001
     0.39495828E+001     0.10747361E+003    -0.10301949E+001     0.29756688E+000
     0.39571782E+001     0.10768029E+003    -0.17306746E+001     0.56809666E+000
     0.39647735E+001     0.10788697E+003    -0.16510147E+001    -0.18572189E+000
     0.39723689E+001     0.10809365E+003    -0.13093268E+001    -0.56161941E-001
     0.39799642E+001     0.10830033E+003    -0.13004673E+001    -0.38408710E-002
     0.39875596E+001     0.10850701E+003    -0.12872607E+001     0.26242245E-002
     0.39951549E+001     0.10871369E+003    -0.12715586E+001     0.27107129E-002
     0.40027503E+001     0.10892037E+003    -0.12562225E+001     0.16220907E-002
     0.40103456E+001     0.10912705E+003    -0.12419831E+001     0.35133137E-003
     0.40179410E+001     0.10933373E+003    -0.12289905E+001    -0.89018543E-003
     0.40255363E+001     0.10954041E+003    -0.12171865E+001    -0.20821242E-002
     0.40331317E+001     0.10974709E+003    -0.12064750E+001    -0.31988434E-002
     0.40407270E+001     0.10995377E+003    -0.11967753E+001    -0.42495154E-002
     0.40483224E+001     0.11016045E+003    -0.11879687E+001    -0.52318774E-002
     0.40559177E+001     0.11036713E+003    -0.11798872E+001    -0.60818431E-002
     0.40635131E+001     0.11057381E+003    -0.11722214E+001    -0.65911216E-002
     0.40711084E+001     0.11078049E+003    -0.11641470E+001    -0.60026779E-002
     0.40787038E+001     0.11098717E+003    -0.11533385E+001    -0.49654542E-003
     0.40862991E+001     0.11119385E+003    -0.11430230E+001     0.37195309E-001
     0.40938945E+001     0.11140053E+003    -0.12593666E+001     0.43935765E-001
     0.41014898E+001     0.11160721E+003    -0.12848629E+001    -0.44967740E-001
     0.41090852E+001     0.11181389E+003    -0.12908907E+001    -0.21654536E+000
     0.41166805E+001     0.11202057E+003    -0.10011689E+001    -0.16896318E+000
     0.41242759E+001     0.11222725E+003    -0.10435633E+001    -0.54805365E-001
     0.41318712E+001     0.11243393E+003    -0.10767287E+001    -0.34707983E-001
     0.41394666E+001     0.11264061E+003    -0.10980844E+001    -0.31943034E-001
     0.41470619E+001     0.11284729E+003    -0.11190640E+001    -0.37827915E-001
     0.41546573E+001     0.11305397E+003    -0.11504307E+001    -0.63427512E-001
     0.41622527E+001     0.11326065E+003    -0.11584428E+001    -0.19952370E+000
     0.41698480E+001     0.11346733E+003    -0.90341851E+000    -0.13525175E+000
     0.41774434E+001     0.11367401E+003    -0.89956123E+000    -0.44543055E-002
     0.41850387E+001     0.11388069E+003    -0.83389915E+000     0.18673154E+000
     0.41926341E+001     0.11408737E+003    -0.13855704E+001     0.60558626E+000
     0.42002294E+001     0.11429405E+003    -0.16298909E+001     0.82337248E-001
     0.42078248E+001     0.11450073E+003    -0.16291892E+001    -0.78264515E-001
     0.42154201E+001     0.11470741E+003    -0.17502035E+001    -0.19829638E+000
     0.42230155E+001     0.11491409E+003    -0.20694284E+001    -0.43717602E+000
     0.42306108E+001     0.11512077E+003    -0.36047176E+001    -0.17429337E+001
     0.42382062E+001     0.11532745E+003     0.10016271E+001    -0.92957246E+000
     0.42458015E+001     0.11553413E+003     0.71971526E-001    -0.21970599E+000
     0.42533969E+001     0.11574081E+003    -0.26846863E+000    -0.71821465E-001
     0.42609922E+001     0.11594749E+003    -0.43946555E+000    -0.24728470E-001
     0.42685876E+001     0.11615417E+003    -0.53883321E+000    -0.60957269E-002
     0.42761829E+001     0.11636086E+003    -0.60229802E+000     0.22773145E-002
     0.42837783E+001     0.11656754E+003    -0.64550842E+000     0.63031538E-002
     0.42913736E+001     0.11677422E+003    -0.67628303E+000     0.82823921E-002
     0.42989690E+001     0.11698090E+003    -0.69893279E+000     0.92262814E-002
     0.43065643E+001     0.11718758E+003    -0.71599453E+000     0.95895804E-002
     0.43141597E+001     0.11739426E+003    -0.72905223E+000     0.96491053E-002
     0.43217550E+001     0.11760094E+003    -0.73916922E+000     0.95318911E-002
     0.43293504E+001     0.11780762E+003    -0.74704590E+000     0.93087881E-002
     0.43369457E+001     0.11801430E+003    -0.75318294E+000     0.90360235E-002
     0.43445411E+001     0.11822098E+003    -0.75795964E+000     0.87553174E-002
     0.43521364E+001     0.11842766E+003    -0.76164071E+000     0.84602672E-002
     0.43597318E+001     0.11863434E+003    -0.76440503E+000     0.81828705E-002
     0.43673271E+001     0.11884102E+003    -0.76640507E+000     0.79386535E-002
     0.43749225E+001     0.11904770E+003    -0.76770556E+000     0.77583451E-002
     0.43825178E+001     0.11925438E+003    -0.76826010E+000     0.78394335E-002
     0.43901132E+001     0.11946106E+003    -0.76832051E+000     0.94389030E-002
     0.43977085E+001     0.11966774E+003    -0.77263997E+000     0.93815486E-002
     0.44053039E+001     0.11987442E+003    -0.77212091E+000     0.71149651E-002
     0.44128993E+001     0.12008110E+003    -0.77130878E+000     0.64971568E-002
     0.44204946E+001     0.12028778E+003    -0.77051636E+000     0.61562586E-002
     0.44280900E+001     0.12049446E+003    -0.76962270E+000     0.58928986E-002
     0.44356853E+001     0.12070114E+003    -0.76860085E+000     0.56731002E-002
     0.44432807E+001     0.12090782E+003    -0.76745333E+000     0.54724699E-002
     0.44508760E+001     0.12111450E+003    -0.76616448E+000     0.52870417E-002
     0.44584714E+001     0.12132118E+003    -0.76474872E+000     0.51305226E-002
     0.44660667E+001     0.12152786E+003    -0.76321974E+000     0.49901173E-002
     0.44736621E+001     0.12173454E+003    -0.76155898E+000     0.48675415E-002
     0.44812574E+001     0.12194122E+003    -0.75975560E+000     0.47813137E-002
     0.44888528E+001     0.12214790E+003    -0.75778011E+000     0.47497373E-002
     0.44964481E+001     0.12235458E+003    -0.75552190E+000     0.48655974E-002
     0.45040435E+001     0.12256126E+003    -0.75278041E+000     0.56903383E-002
     0.45116388E+001     0.12276794E+003    -0.75272482E+000     0.90984780E-002
     0.45192342E+001     0.12297462E+003    -0.75290874E+000     0.56431776E-002
     0.45268295E+001     0.12318130E+003    -0.74973454E+000     0.46473000E-002
     0.45344249E+001     0.12338798E+003    -0.74672960E+000     0.44586024E-002
     0.45420202E+001     0.12359466E+003    -0.74359178E+000     0.45169523E-002
     0.45496156E+001     0.12380134E+003    -0.74001827E+000     0.48331415E-002
     0.45572109E+001     0.12400802E+003    -0.73556936E+000     0.56597151E-002
     0.45648063E+001     0.12421470E+003    -0.72921976E+000     0.79828396E-002
     0.45724016E+001     0.12442138E+003    -0.71885292E+000     0.17196866E-001
     0.45799970E+001     0.12462806E+003    -0.73408793E+000     0.55822618E-001
     0.45875923E+001     0.12483474E+003    -0.76327167E+000     0.20072474E-001
     0.45951877E+001     0.12504142E+003    -0.75207644E+000     0.80800562E-002
     0.46027830E+001     0.12524810E+003    -0.74515115E+000     0.51840822E-002
     0.46103784E+001     0.12545478E+003    -0.74039401E+000     0.40797965E-002
     0.46179737E+001     0.12566146E+003    -0.73662251E+000     0.35361650E-002
     0.46255691E+001     0.12586814E+003    -0.73336793E+000     0.32217284E-002
     0.46331644E+001     0.12607482E+003    -0.73039723E+000     0.30149086E-002
     0.46407598E+001     0.12628150E+003    -0.72758497E+000     0.28756156E-002
     0.46483552E+001     0.12648818E+003    -0.72486841E+000     0.27862461E-002
     0.46559505E+001     0.12669486E+003    -0.72219080E+000     0.27218741E-002
     0.46635459E+001     0.12690154E+003    -0.71949185E+000     0.26948444E-002
     0.46711412E+001     0.12710822E+003    -0.71672551E+000     0.27179106E-002
     0.46787366E+001     0.12731490E+003    -0.71380578E+000     0.28121397E-002
     0.46863319E+001     0.12752158E+003    -0.71056981E+000     0.30721139E-002
     0.46939273E+001     0.12772826E+003    -0.70669149E+000     0.37891935E-002
     0.47015226E+001     0.12793494E+003    -0.70137251E+000     0.62507153E-002
     0.47091180E+001     0.12814162E+003    -0.69734003E+000     0.19013435E-001
     0.47167133E+001     0.12834830E+003    -0.71747703E+000     0.14612471E-001
     0.47243087E+001     0.12855498E+003    -0.71136401E+000     0.52303456E-002
     0.47319040E+001     0.12876166E+003    -0.70623560E+000     0.33390732E-002
     0.47394994E+001     0.12896834E+003    -0.70229421E+000     0.27544222E-002
     0.47470947E+001     0.12917502E+003    -0.69879339E+000     0.25608043E-002
     0.47546901E+001     0.12938170E+003    -0.69534312E+000     0.25900497E-002
     0.47622854E+001     0.12958838E+003    -0.69160681E+000     0.29419014E-002
     0.47698808E+001     0.12979506E+003    -0.68699182E+000     0.42319656E-002
     0.47774761E+001     0.13000174E+003    -0.68117749E+000     0.10739116E-001
     0.47850715E+001     0.13020842E+003    -0.69597020E+000     0.17214835E-001
     0.47926668E+001     0.13041510E+003    -0.69343273E+000     0.55157996E-002
     0.48002622E+001     0.13062178E+003    -0.68837732E+000     0.31778522E-002
     0.48078575E+001     0.13082846E+003    -0.68453444E+000     0.24836020E-002
     0.48154529E+001     0.13103514E+003    -0.68122493E+000     0.21984085E-002
     0.48230482E+001     0.13124182E+003    -0.67814251E+000     0.20598821E-002
     0.48306436E+001     0.13144850E+003    -0.67515470E+000     0.19958387E-002
     0.48382389E+001     0.13165518E+003    -0.67218987E+000     0.19741935E-002
     0.48458343E+001     0.13186186E+003    -0.66918859E+000     0.19785990E-002
     0.48534296E+001     0.13206854E+003    -0.66610465E+000     0.20155619E-002
     0.48610250E+001     0.13227522E+003    -0.66290337E+000     0.20837865E-002
     0.48686203E+001     0.13248190E+003    -0.65952326E+000     0.21865653E-002
     0.48762157E+001     0.13268858E+003    -0.65590085E+000     0.23457090E-002
     0.48838110E+001     0.13289526E+003    -0.65195125E+000     0.25789174E-002
     0.48914064E+001     0.13310194E+003    -0.64752900E+000     0.29168861E-002
     0.48990018E+001     0.13330862E+003    -0.64241241E+000     0.34438280E-002
     0.49065971E+001     0.13351530E+003    -0.63623877E+000     0.43097363E-002
     0.49141925E+001     0.13372198E+003    -0.62829916E+000     0.58649101E-002
     0.49217878E+001     0.13392866E+003    -0.61712823E+000     0.91858252E-002
     0.49293832E+001     0.13413534E+003    -0.60001376E+000     0.18990911E-001
     0.49369785E+001     0.13434202E+003    -0.58399829E+000     0.41033974E-001
     0.49445739E+001     0.13454870E+003    -0.55408092E+000     0.12545333E+000
     0.49521692E+001     0.13475538E+003    -0.74709304E+000     0.13215782E+000
     0.49597646E+001     0.13496206E+003    -0.71992709E+000     0.33929824E-001
     0.49673599E+001     0.13516874E+003    -0.69189826E+000     0.14591012E-001
     0.49749553E+001     0.13537542E+003    -0.67573933E+000     0.85710352E-002
     0.49825506E+001     0.13558210E+003    -0.66482421E+000     0.60418329E-002
     0.49901460E+001     0.13578878E+003    -0.65643998E+000     0.48048539E-002
     0.49977413E+001     0.13599546E+003    -0.64937514E+000     0.41707333E-002
     0.50053367E+001     0.13620214E+003    -0.64299868E+000     0.38623874E-002
     0.50129320E+001     0.13640882E+003    -0.63691433E+000     0.37674536E-002
     0.50205274E+001     0.13661550E+003    -0.63085239E+000     0.38464937E-002
     0.50281227E+001     0.13682218E+003    -0.62457886E+000     0.40822327E-002
     0.50357181E+001     0.13702886E+003    -0.61784017E+000     0.44982912E-002
     0.50433134E+001     0.13723554E+003    -0.61034315E+000     0.51564143E-002
     0.50509088E+001     0.13744222E+003    -0.60168350E+000     0.61607604E-002
     0.50585041E+001     0.13764890E+003    -0.59122850E+000     0.77207776E-002
     0.50660995E+001     0.13785558E+003    -0.57793089E+000     0.10275019E-001
     0.50736948E+001     0.13806226E+003    -0.55985654E+000     0.14807110E-001
     0.50812902E+001     0.13826894E+003    -0.53299915E+000     0.23984525E-001
     0.50888855E+001     0.13847562E+003    -0.48793827E+000     0.47038206E-001
     0.50964809E+001     0.13868230E+003    -0.40401989E+000     0.13173417E+000
     0.51040762E+001     0.13888898E+003    -0.51926450E+000     0.51164568E+000
     0.51116716E+001     0.13909566E+003    -0.87499243E+000     0.18866109E+000
     0.51192669E+001     0.13930234E+003    -0.77316550E+000     0.59753652E-001
     0.51268623E+001     0.13950902E+003    -0.70878289E+000     0.36491228E-001
     0.51344577E+001     0.13971570E+003    -0.65730301E+000     0.54308420E-001
     0.51420530E+001     0.13992238E+003    -0.71297106E+000     0.13152886E+000
     0.51496484E+001     0.14012906E+003    -0.73631492E+000     0.39038708E-001
     0.51572437E+001     0.14033574E+003    -0.70522278E+000     0.16762615E-001
     0.51648391E+001     0.14054242E+003    -0.68425912E+000     0.11547557E-001
     0.51724344E+001     0.14074910E+003    -0.66641145E+000     0.13193830E-001
     0.51800298E+001     0.14095578E+003    -0.65362629E+000     0.34630511E-001
     0.51876251E+001     0.14116246E+003    -0.68710588E+000     0.26551285E-001
     0.51952205E+001     0.14136914E+003    -0.67393670E+000     0.86208361E-002
     0.52028158E+001     0.14157582E+003    -0.66329374E+000     0.47384598E-002
     0.52104112E+001     0.14178250E+003    -0.65549428E+000     0.33488621E-002
     0.52180065E+001     0.14198918E+003    -0.64907423E+000     0.26883585E-002
     0.52256019E+001     0.14219586E+003    -0.64337030E+000     0.23477041E-002
     0.52331972E+001     0.14240254E+003    -0.63803726E+000     0.21934490E-002
     0.52407926E+001     0.14260922E+003    -0.63282416E+000     0.21745568E-002
     0.52483879E+001     0.14281590E+003    -0.62750886E+000     0.22951275E-002
     0.52559833E+001     0.14302258E+003    -0.62184645E+000     0.25967640E-002
     0.52635786E+001     0.14322926E+003    -0.61549875E+000     0.31646111E-002
     0.52711740E+001     0.14343594E+003    -0.60790465E+000     0.42134111E-002
     0.52787693E+001     0.14364262E+003    -0.59805214E+000     0.62620407E-002
     0.52863647E+001     0.14384930E+003    -0.58376424E+000     0.10780846E-001
     0.52939600E+001     0.14405598E+003    -0.55973021E+000     0.23432164E-001
     0.53015554E+001     0.14426266E+003    -0.51691162E+000     0.77759076E-001
     0.53091507E+001     0.14446934E+003    -0.65931499E+000     0.22880966E+000
     0.53167461E+001     0.14467602E+003    -0.72655768E+000     0.62520970E-001
     0.53243414E+001     0.14488270E+003    -0.68864046E+000     0.21243639E-001
     0.53319368E+001     0.14508938E+003    -0.66763670E+000     0.10433964E-001
     0.53395321E+001     0.14529606E+003    -0.65499479E+000     0.62278401E-002
     0.53471275E+001     0.14550274E+003    -0.64636030E+000     0.41751368E-002
     0.53547228E+001     0.14570942E+003    -0.63990507E+000     0.30151419E-002
     0.53623182E+001     0.14591610E+003    -0.63474750E+000     0.22884795E-002
     0.53699135E+001     0.14612278E+003    -0.63042581E+000     0.18114052E-002
     0.53775089E+001     0.14632946E+003    -0.62668403E+000     0.14765251E-002
     0.53851043E+001     0.14653614E+003    -0.62333956E+000     0.12304639E-002
     0.53926996E+001     0.14674282E+003    -0.62028656E+000     0.10550744E-002
     0.54002950E+001     0.14694950E+003    -0.61745135E+000     0.93796250E-003
     0.54078903E+001     0.14715618E+003    -0.61483342E+000     0.88986225E-003
     0.54154857E+001     0.14736286E+003    -0.61232509E+000     0.75322922E-003
     0.54230810E+001     0.14756954E+003    -0.60985812E+000     0.68265444E-003
     0.54306764E+001     0.14777622E+003    -0.60744291E+000     0.63889384E-003
     0.54382717E+001     0.14798290E+003    -0.60504190E+000     0.62444963E-003
     0.54458671E+001     0.14818958E+003    -0.60262323E+000     0.64102910E-003
     0.54534624E+001     0.14839626E+003    -0.60013533E+000     0.69307257E-003
     0.54610578E+001     0.14860294E+003    -0.59749932E+000     0.80600407E-003
     0.54686531E+001     0.14880962E+003    -0.59460488E+000     0.10289085E-002
     0.54762485E+001     0.14901630E+003    -0.59122149E+000     0.14672407E-002
     0.54838438E+001     0.14922298E+003    -0.58686070E+000     0.24754070E-002
     0.54914392E+001     0.14942966E+003    -0.58035144E+000     0.54875108E-002
     0.54990345E+001     0.14963634E+003    -0.57142498E+000     0.19834330E-001
     0.55066299E+001     0.14984302E+003    -0.60248126E+000     0.30470966E-001
     0.55142252E+001     0.15004970E+003    -0.59624901E+000     0.16374008E-001
     0.55218206E+001     0.15025638E+003    -0.60653293E+000     0.15271038E-001
     0.55294159E+001     0.15046306E+003    -0.60095388E+000     0.45569438E-002
