#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.37995746E+001    -0.61658947E-004    -0.55153008E-005    -0.28917204E-008     0.63439116E-008    -0.17164721E-007     0.47730598E-008
    -0.37919755E+001    -0.68498147E-004    -0.46039024E-005    -0.28840794E-008     0.93584653E-009    -0.28068093E-007    -0.10943301E-007
    -0.37843763E+001    -0.74248500E-004    -0.39519443E-005    -0.30312790E-008     0.28327774E-008    -0.12335763E-007    -0.28646775E-007
    -0.37767772E+001    -0.79211323E-004    -0.34962633E-005    -0.50362486E-008    -0.11011488E-008     0.25388776E-008    -0.30861036E-007
    -0.37691780E+001    -0.83627472E-004    -0.32663516E-005    -0.47540410E-008    -0.70143461E-010     0.24771224E-007    -0.42884974E-009
    -0.37615789E+001    -0.87806219E-004    -0.36936069E-005    -0.36552222E-008    -0.40582481E-008    -0.17476210E-007    -0.28038228E-007
    -0.37539797E+001    -0.91172208E-004    -0.86561976E-005    -0.14996956E-009    -0.40346312E-008     0.29038240E-007     0.49589169E-008
    -0.37463806E+001    -0.67647557E-004    -0.94186446E-005     0.13346880E-009    -0.14215239E-008    -0.46781954E-008     0.10598177E-007
    -0.37387814E+001    -0.54201993E-004     0.32058028E-004    -0.25641762E-008    -0.31891308E-009    -0.53461248E-008    -0.57092301E-009
    -0.37311823E+001    -0.14995619E-003     0.10936680E-003     0.64344146E-010    -0.36312980E-008    -0.67517274E-008    -0.25176494E-008
    -0.37235831E+001    -0.19658815E-003     0.16317365E-004     0.18291559E-009     0.80420254E-009    -0.26004787E-008    -0.28154390E-008
    -0.37159840E+001    -0.20326577E-003    -0.15560057E-004    -0.30035249E-008    -0.24161639E-009    -0.86788184E-009    -0.43851504E-008
    -0.37083848E+001    -0.23957799E-003    -0.64515728E-004    -0.30054301E-008    -0.62624951E-008    -0.11774880E-007    -0.20489324E-008
    -0.37007857E+001    -0.19432709E-003    -0.27459230E-003     0.10429675E-007    -0.26586034E-009    -0.70579799E-008    -0.84693259E-008
    -0.36931865E+001     0.39270495E-004    -0.11400303E-003     0.30780333E-008     0.16148805E-007     0.84978635E-009    -0.14995060E-007
    -0.36855874E+001    -0.13888109E-004    -0.31432731E-004    -0.22684030E-007     0.11565542E-007     0.89323416E-008    -0.73198843E-008
    -0.36779882E+001    -0.43741514E-004    -0.13376696E-004    -0.18519730E-007    -0.77925770E-008    -0.18259062E-008     0.89592526E-008
    -0.36703891E+001    -0.60230266E-004    -0.71252742E-005    -0.25385841E-008    -0.20275018E-007    -0.11767578E-007    -0.10776502E-007
    -0.36627899E+001    -0.70598530E-004    -0.43375450E-005     0.52486587E-008    -0.11757670E-007     0.17733988E-007    -0.30266984E-008
    -0.36551908E+001    -0.77790567E-004    -0.28614777E-005     0.78353210E-008    -0.34750627E-008    -0.45586370E-008     0.13428641E-007
    -0.36475916E+001    -0.83131161E-004    -0.19738620E-005     0.39317385E-008     0.19361146E-008    -0.27227980E-007    -0.95496340E-008
    -0.36399925E+001    -0.87282684E-004    -0.13813014E-005    -0.38406026E-009     0.14911558E-008     0.10735034E-007    -0.17731600E-007
    -0.36323933E+001    -0.90594935E-004    -0.95218501E-006    -0.11237916E-008     0.80625440E-009    -0.14098538E-007     0.48476241E-008
    -0.36247942E+001    -0.93184807E-004    -0.64538173E-006    -0.34867926E-008    -0.21545959E-008    -0.25027440E-007    -0.31061986E-007
    -0.36171950E+001    -0.95200237E-004    -0.24539498E-006     0.14525669E-009    -0.41892611E-008     0.24023654E-007    -0.41964665E-007
    -0.36095959E+001    -0.96744275E-004    -0.84528929E-007     0.18529106E-008    -0.23290320E-008     0.41294907E-007    -0.60363372E-008
    -0.36019967E+001    -0.96802204E-004    -0.16020580E-005     0.76369756E-010     0.99816645E-009     0.17647063E-007     0.89313809E-008
    -0.35943976E+001    -0.90426182E-004     0.14061433E-005    -0.42504237E-008    -0.13825185E-008     0.17835275E-007     0.14069209E-007
    -0.35867984E+001    -0.85229110E-004     0.78885243E-005    -0.24191984E-008    -0.79526456E-008     0.89884756E-008     0.18399755E-007
    -0.35791993E+001    -0.71467041E-004     0.24841859E-004     0.76916397E-008    -0.70573999E-008    -0.10689847E-007     0.22176548E-007
    -0.35716001E+001    -0.83704842E-004     0.10677000E-003     0.47967066E-008     0.10917270E-008    -0.97700577E-008     0.45127657E-008
    -0.35640010E+001    -0.19117221E-003     0.49983853E-004     0.34706393E-009     0.71265093E-009    -0.81248158E-008     0.30020488E-008
    -0.35564018E+001    -0.17274257E-003     0.12142879E-004     0.24882708E-008    -0.17446841E-008    -0.55078981E-008     0.14084234E-007
    -0.35488027E+001    -0.16383663E-003     0.38746054E-005     0.59823991E-008     0.12487729E-008    -0.33680473E-007    -0.31832470E-008
    -0.35412035E+001    -0.16125678E-003     0.87018378E-006     0.36086180E-008     0.74027950E-008    -0.11365329E-007    -0.30577168E-007
    -0.35336044E+001    -0.16186023E-003    -0.69680103E-006    -0.30839355E-008     0.55081253E-008    -0.67294939E-009    -0.20920160E-007
    -0.35260052E+001    -0.16449999E-003    -0.18017609E-005    -0.50673204E-009     0.41021027E-008     0.10974287E-007    -0.21504501E-007
    -0.35184061E+001    -0.16881546E-003    -0.28138699E-005    -0.11533076E-007     0.12330526E-007     0.13465475E-007    -0.28350915E-007
    -0.35108069E+001    -0.17485631E-003    -0.39604289E-005    -0.10463437E-007    -0.69737977E-008     0.55075728E-007    -0.60929867E-008
    -0.35032078E+001    -0.18301188E-003    -0.54898094E-005    -0.69299355E-008    -0.62283968E-008     0.16620818E-007     0.34960359E-007
    -0.34956086E+001    -0.19414925E-003    -0.78225858E-005    -0.10285968E-008    -0.10391582E-007     0.35419749E-008     0.11369887E-007
    -0.34880095E+001    -0.21004764E-003    -0.11909343E-004     0.33594134E-008    -0.38378491E-008     0.34400849E-008     0.12362706E-007
    -0.34804103E+001    -0.23462400E-003    -0.20476001E-004     0.13634240E-008    -0.67249654E-009     0.63651076E-008     0.73686536E-008
    -0.34728112E+001    -0.27752305E-003    -0.44136174E-004     0.21453378E-008    -0.42074023E-008    -0.51652414E-008     0.13781819E-007
    -0.34652120E+001    -0.35235848E-003    -0.14807464E-003     0.24086729E-008     0.15222034E-008     0.17395847E-007     0.75653591E-008
    -0.34576129E+001    -0.75460214E-004    -0.36725083E-003     0.83565140E-009     0.68392604E-009    -0.58574926E-008     0.17268248E-007
    -0.34500138E+001    -0.11981452E-004    -0.10383532E-003     0.10759485E-008     0.12626382E-008     0.15707424E-007     0.33827478E-008
    -0.34424146E+001    -0.80051822E-004    -0.43280873E-004    -0.43126692E-008     0.25306997E-008     0.86028013E-008     0.23223420E-007
    -0.34348155E+001    -0.12638918E-003    -0.30428987E-004    -0.42146476E-008    -0.59591990E-008    -0.55257615E-008     0.15459962E-007
    -0.34272163E+001    -0.16730769E-003    -0.31558249E-004     0.24881172E-008    -0.53430364E-008    -0.77018106E-009     0.21369211E-007
    -0.34196172E+001    -0.21709434E-003    -0.46022537E-004     0.46148641E-008    -0.17966061E-008    -0.17225312E-007     0.23657326E-007
    -0.34120180E+001    -0.29845191E-003    -0.98251239E-004     0.44127708E-008     0.34594868E-008    -0.19522157E-007     0.53506834E-008
    -0.34044189E+001    -0.37297951E-003    -0.42645005E-003    -0.17273251E-008     0.57496130E-008    -0.88634506E-008     0.13000297E-007
    -0.33968197E+001     0.17721860E-003    -0.29519550E-003    -0.23675883E-008     0.27191418E-008    -0.30878821E-007    -0.95695100E-008
    -0.33892206E+001     0.72112850E-004    -0.81138711E-004    -0.12196931E-007     0.53458450E-008     0.10304537E-007    -0.18244663E-007
    -0.33816214E+001    -0.47662061E-005    -0.40867360E-004    -0.18270709E-008    -0.49816706E-008     0.16528455E-007     0.15687180E-007
    -0.33740223E+001    -0.58256624E-004    -0.34799188E-004    -0.52661916E-008    -0.57099706E-008    -0.70208730E-008     0.15115143E-007
    -0.33664231E+001    -0.11828296E-003    -0.58101960E-004     0.69569853E-009    -0.73063703E-008     0.12298069E-007     0.13582222E-007
    -0.33588240E+001    -0.11553254E-003    -0.22023147E-003     0.51605709E-008    -0.69720837E-008    -0.46260339E-008     0.36032457E-007
    -0.33512248E+001     0.73420208E-004    -0.10432126E-003     0.35068268E-008    -0.27643654E-008    -0.21086576E-007     0.38648642E-007
    -0.33436257E+001     0.21154797E-004    -0.31161213E-004     0.62279217E-008     0.13369967E-009    -0.44989203E-007     0.27884671E-007
    -0.33360265E+001    -0.11527199E-004    -0.15044308E-004     0.29525099E-008    -0.77411297E-009    -0.59517441E-007    -0.55276459E-008
    -0.33284274E+001    -0.32696163E-004    -0.10188324E-004     0.67925139E-008    -0.81975727E-009    -0.31235228E-007    -0.20915337E-007
    -0.33208282E+001    -0.47593503E-004    -0.13353337E-004     0.98570033E-008     0.85368425E-008    -0.21800075E-007    -0.21908104E-007
    -0.33132291E+001    -0.45071930E-004    -0.12366527E-004    -0.99744226E-009     0.11509245E-007    -0.85473639E-008    -0.12497287E-007
    -0.33056299E+001    -0.54327091E-004    -0.52800565E-005    -0.25277056E-008     0.66756688E-008    -0.81939153E-008    -0.88608395E-008
    -0.32980308E+001    -0.62311548E-004    -0.34322180E-005    -0.49131124E-008     0.56461677E-008    -0.13702187E-007    -0.86884331E-009
    -0.32904316E+001    -0.68609500E-004    -0.26022761E-005    -0.65623304E-008     0.72846092E-008    -0.28742798E-007     0.72118595E-009
    -0.32828325E+001    -0.73882367E-004    -0.21105893E-005    -0.76883269E-008    -0.32579745E-008    -0.29739271E-007    -0.35376869E-007
    -0.32752333E+001    -0.78464750E-004    -0.17794406E-005    -0.92743052E-008    -0.15728472E-008    -0.93819557E-008    -0.35286083E-007
    -0.32676342E+001    -0.82546579E-004    -0.15395749E-005    -0.19491255E-008    -0.17473268E-007     0.22554854E-007    -0.22506746E-007
    -0.32600350E+001    -0.86244725E-004    -0.13560640E-005     0.22865738E-007    -0.10568757E-007     0.46371372E-008     0.19063592E-009
    -0.32524359E+001    -0.89629472E-004    -0.12032941E-005     0.25248840E-007     0.22629787E-007     0.41913576E-009    -0.10526835E-007
    -0.32448367E+001    -0.92733117E-004    -0.10504469E-005    -0.21949504E-007     0.52131001E-007     0.18587767E-008     0.28091450E-008
    -0.32372376E+001    -0.95530624E-004    -0.83583772E-006    -0.17719262E-007    -0.28941647E-007    -0.19021083E-007    -0.33846722E-008
    -0.32296384E+001    -0.97867994E-004    -0.33541615E-006    -0.97848542E-008    -0.93781490E-008    -0.14217371E-007    -0.18730950E-007
    -0.32220393E+001    -0.99477816E-004     0.17896606E-005    -0.72547278E-009    -0.20743847E-009     0.19458372E-008    -0.23455748E-007
    -0.32144401E+001    -0.10846811E-003     0.68648683E-005    -0.61550417E-008     0.10246807E-008     0.15543256E-008    -0.24150788E-007
    -0.32068410E+001    -0.11338829E-003     0.81530923E-006    -0.61138036E-008     0.93664386E-009     0.65817939E-008    -0.30009516E-007
    -0.31992418E+001    -0.11524027E-003    -0.32143445E-006    -0.85886711E-008    -0.47633522E-009     0.48243334E-007    -0.24530726E-007
    -0.31916427E+001    -0.11893082E-003     0.72478731E-006    -0.76094902E-008    -0.27143166E-008     0.43162310E-007     0.15810134E-007
    -0.31840435E+001    -0.12462798E-003    -0.14959545E-005    -0.83794425E-008    -0.35488091E-008     0.16511943E-007     0.40927431E-007
    -0.31764444E+001    -0.12955584E-003    -0.36305664E-005    -0.98777118E-008    -0.68155615E-008    -0.46995421E-008     0.26358698E-007
    -0.31688452E+001    -0.13701734E-003    -0.93123775E-005    -0.36104467E-008    -0.13614054E-007    -0.11800051E-007     0.99131048E-008
    -0.31612461E+001    -0.12775662E-003    -0.27350939E-004     0.54261553E-008    -0.82878992E-008    -0.18523338E-007     0.87009724E-008
    -0.31536469E+001    -0.12203317E-003    -0.95269555E-005     0.35941145E-008    -0.18203621E-008     0.88820638E-008    -0.19923346E-007
    -0.31460478E+001    -0.13112700E-003    -0.54167166E-005    -0.38707693E-008    -0.31876345E-008     0.25475658E-007     0.13438223E-007
    -0.31384486E+001    -0.13928127E-003    -0.50767663E-005     0.14524986E-008    -0.30842856E-008    -0.34391270E-008     0.47871964E-007
    -0.31308495E+001    -0.14796302E-003    -0.58999503E-005    -0.42001182E-008    -0.35070435E-008    -0.35657773E-007     0.31401106E-007
    -0.31232503E+001    -0.15845419E-003    -0.77126314E-005    -0.53603224E-009    -0.64413249E-008    -0.43842683E-007    -0.72012510E-008
    -0.31156512E+001    -0.17242154E-003    -0.11106684E-004     0.42759261E-008    -0.88234063E-008     0.20899631E-008    -0.33164979E-007
    -0.31080520E+001    -0.19294792E-003    -0.17933672E-004     0.75293495E-008    -0.98419594E-009     0.63454605E-008     0.25654307E-007
    -0.31004529E+001    -0.22698366E-003    -0.34371227E-004     0.47576425E-008     0.35802196E-008    -0.80487571E-008     0.10464533E-007
    -0.30928537E+001    -0.29109591E-003    -0.89553127E-004     0.91527553E-009     0.36932078E-008    -0.18505992E-007     0.98395525E-008
    -0.30852546E+001    -0.30457410E-003    -0.36958401E-003    -0.14565413E-008     0.65326746E-008    -0.30566419E-007     0.39151889E-009
    -0.30776554E+001     0.13062739E-003    -0.22889265E-003    -0.82182394E-008     0.12897393E-008    -0.23367287E-007    -0.33363589E-008
    -0.30700563E+001     0.48792160E-004    -0.59097589E-004    -0.25231003E-008    -0.75269212E-009    -0.17614451E-007    -0.96607070E-008
    -0.30624571E+001    -0.45471561E-005    -0.24175212E-004    -0.57502751E-008     0.17794981E-009    -0.91789289E-008    -0.56770687E-008
    -0.30548580E+001    -0.33327893E-004    -0.12644525E-004    -0.51610402E-008    -0.52508000E-008    -0.13094414E-007    -0.11746744E-007
    -0.30472588E+001    -0.51052343E-004    -0.75747245E-005     0.12267613E-008    -0.46838981E-008    -0.11726628E-007     0.67445275E-008
    -0.30396597E+001    -0.63117970E-004    -0.49292566E-005     0.56347997E-009    -0.65476897E-009    -0.46853559E-007     0.23062798E-007
    -0.30320605E+001    -0.71938270E-004    -0.33808466E-005    -0.34331868E-008     0.37910804E-009    -0.85538324E-007    -0.89852414E-007
    -0.30244614E+001    -0.78734183E-004    -0.23976152E-005    -0.33380395E-008    -0.40130170E-008     0.14932395E-006    -0.48882892E-007
    -0.30168622E+001    -0.84179022E-004    -0.17358469E-005     0.42198606E-008    -0.21479202E-008     0.33597220E-007     0.28640941E-007
    -0.30092631E+001    -0.88674234E-004    -0.12661920E-005    -0.11557169E-009     0.97651286E-008     0.10389216E-008     0.27962763E-007
    -0.30016639E+001    -0.92475692E-004    -0.91858175E-006    -0.14094075E-007     0.32286216E-008    -0.94592616E-008    -0.46374007E-008
    -0.29940648E+001    -0.95748112E-004    -0.65271119E-006    -0.77123043E-008    -0.10593297E-007    -0.88879484E-008     0.17669798E-007
    -0.29864656E+001    -0.98602677E-004    -0.43995480E-006     0.15974619E-008    -0.19728311E-008    -0.25282094E-007     0.83258061E-008
    -0.29788665E+001    -0.10111675E-003    -0.26110808E-006     0.48988902E-009     0.96624077E-009    -0.17455423E-007    -0.87302699E-008
    -0.29712673E+001    -0.10333978E-003    -0.10251166E-006    -0.76342613E-008     0.86407291E-009    -0.88862355E-008    -0.69749014E-008
    -0.29636682E+001    -0.10529613E-003     0.55231474E-007    -0.55591307E-008    -0.11927395E-008    -0.71327549E-008     0.35647199E-008
    -0.29560691E+001    -0.10698179E-003     0.25577348E-006    -0.10807182E-007    -0.27359506E-008    -0.26311811E-007     0.89205629E-008
    -0.29484699E+001    -0.10839487E-003     0.73520411E-006    -0.52269877E-008    -0.82456763E-008    -0.28593105E-007    -0.19630326E-007
    -0.29408708E+001    -0.11062760E-003     0.11731867E-005    -0.44468010E-008    -0.38417935E-008    -0.16577322E-007    -0.21774377E-007
    -0.29332716E+001    -0.11167206E-003     0.82816564E-006    -0.26490734E-008    -0.81148430E-008    -0.17292763E-007    -0.28538515E-007
    -0.29256725E+001    -0.11221519E-003     0.11240401E-005    -0.33819076E-008     0.19596274E-008     0.60129338E-008    -0.45680944E-007
    -0.29180733E+001    -0.11212865E-003     0.22976883E-005    -0.13963194E-007    -0.38600824E-008     0.19099611E-007    -0.15738489E-007
    -0.29104742E+001    -0.11410947E-003     0.75460823E-005    -0.93627749E-008    -0.17844834E-007     0.77960050E-008    -0.18638815E-007
    -0.29028750E+001    -0.12023983E-003     0.36356992E-005     0.64314215E-008    -0.93120809E-008     0.16623093E-007    -0.50543853E-008
    -0.28952759E+001    -0.11926484E-003     0.18755410E-005    -0.29498512E-008    -0.59587626E-008     0.20770960E-007    -0.13351305E-007
    -0.28876767E+001    -0.11850608E-003     0.17377104E-005     0.42704081E-008    -0.11109997E-007     0.29093973E-007     0.65157593E-008
    -0.28800776E+001    -0.11756393E-003     0.20239882E-005     0.79944120E-009    -0.19528160E-009    -0.37430451E-008     0.25472402E-007
    -0.28724784E+001    -0.11599783E-003     0.26435656E-005    -0.64282673E-008    -0.85537998E-008    -0.37904268E-007    -0.14560572E-007
    -0.28648793E+001    -0.11325448E-003     0.37949660E-005     0.31248036E-008    -0.25606502E-008     0.75721055E-008    -0.36963477E-007
    -0.28572801E+001    -0.10830768E-003     0.61070034E-005    -0.13689903E-007    -0.80841218E-008     0.34541979E-007    -0.24461012E-007
    -0.28496810E+001    -0.98820641E-004     0.11726259E-004    -0.38024417E-008    -0.21664348E-007     0.35487857E-007     0.12939820E-007
    -0.28420818E+001    -0.79342043E-004     0.31043935E-004     0.10135516E-007    -0.14877864E-007     0.28834113E-007     0.12594177E-007
    -0.28344827E+001    -0.85915207E-004     0.12732617E-003     0.13942391E-007    -0.83668132E-008     0.20461727E-007     0.31779082E-007
    -0.28268835E+001    -0.21828609E-003     0.66033743E-004     0.51841706E-008    -0.11707509E-008    -0.91994261E-008     0.37128354E-007
    -0.28192844E+001    -0.19285772E-003     0.17633897E-004     0.17945501E-008    -0.59194125E-008     0.44678918E-008     0.11357802E-007
    -0.28116852E+001    -0.17814119E-003     0.74127486E-005     0.78852383E-008    -0.11311770E-007     0.79480979E-008     0.37126254E-007
    -0.28040861E+001    -0.17087364E-003     0.39554590E-005     0.14167617E-007     0.27555457E-008    -0.22191028E-007     0.42644983E-007
    -0.27964869E+001    -0.16699493E-003     0.23841532E-005     0.40528100E-008     0.37991140E-008    -0.28656879E-007     0.23249486E-007
    -0.27888878E+001    -0.16492417E-003     0.14740998E-005     0.45248998E-008     0.55469124E-008    -0.18074325E-007     0.23283086E-007
    -0.27812886E+001    -0.16405589E-003     0.71855777E-006    -0.56634492E-008     0.78892490E-008    -0.42547745E-007     0.34286067E-007
    -0.27736895E+001    -0.16437633E-003    -0.45095385E-006    -0.86253218E-008    -0.16013608E-008    -0.72302321E-007     0.20648451E-007
    -0.27660903E+001    -0.16659338E-003    -0.42425775E-005    -0.96224642E-008    -0.36044013E-008    -0.93453381E-007    -0.32249892E-007
    -0.27584912E+001    -0.16209921E-003    -0.24018760E-004    -0.86439034E-009    -0.97494242E-008     0.17556246E-007    -0.99179590E-007
    -0.27508920E+001    -0.12891885E-003    -0.80498050E-005     0.36290454E-009    -0.49417439E-008     0.36125943E-008    -0.10600256E-007
    -0.27432929E+001    -0.12423761E-003     0.10323259E-004    -0.17460037E-008    -0.21241828E-008    -0.98315164E-008    -0.28846623E-007
    -0.27356937E+001    -0.11461663E-003     0.54863856E-004    -0.62407728E-008    -0.60553433E-008     0.11464078E-007    -0.18361806E-007
    -0.27280946E+001    -0.21006516E-003     0.58919637E-004    -0.61133898E-008    -0.14046571E-007     0.91605458E-009    -0.10068688E-008
    -0.27204954E+001    -0.20081597E-003     0.14212400E-004     0.96214469E-008    -0.15430786E-007     0.73405600E-008     0.35962296E-008
    -0.27128963E+001    -0.19129431E-003     0.54914935E-005     0.15790639E-007    -0.56778545E-008    -0.23245646E-007     0.93961256E-008
    -0.27052971E+001    -0.18715821E-003     0.27339085E-005     0.62852306E-008     0.79397395E-008    -0.15789118E-007     0.75899004E-008
    -0.26976980E+001    -0.18551986E-003     0.14643614E-005    -0.36246483E-008     0.20373657E-008    -0.45013033E-007     0.17204747E-007
    -0.26900988E+001    -0.18532162E-003     0.61375715E-006    -0.20624332E-008     0.26067697E-008    -0.66813636E-007    -0.18536003E-007
    -0.26824997E+001    -0.18634323E-003    -0.37527658E-006    -0.13969731E-007     0.43843517E-008    -0.70838649E-007    -0.61485174E-007
    -0.26749005E+001    -0.18908149E-003    -0.27259604E-005    -0.18759863E-007    -0.13440775E-007     0.27570589E-007    -0.97634786E-007
    -0.26673014E+001    -0.19233088E-003    -0.13926831E-004     0.44523394E-008    -0.17917357E-007     0.31332290E-007    -0.12033742E-007
    -0.26597022E+001    -0.16822091E-003    -0.14838879E-004    -0.66485355E-008     0.25929528E-008    -0.11457936E-007     0.31161436E-008
    -0.26521031E+001    -0.17085683E-003    -0.27376196E-005    -0.18549082E-007    -0.26388735E-007    -0.26136167E-007    -0.44763285E-007
    -0.26445039E+001    -0.17322602E-003    -0.69555947E-008     0.40969179E-009    -0.37121955E-007     0.17997622E-007    -0.59938149E-007
    -0.26369048E+001    -0.17333429E-003     0.15524064E-005     0.23190098E-007    -0.25120345E-007     0.32756328E-007    -0.46128436E-007
    -0.26293056E+001    -0.17105696E-003     0.38705961E-005     0.17943507E-007    -0.80269153E-008     0.70915355E-007    -0.16397087E-007
    -0.26217065E+001    -0.16447552E-003     0.10515909E-004     0.25348927E-007    -0.24749810E-007     0.44886409E-007     0.24156978E-007
    -0.26141073E+001    -0.15788159E-003     0.43681714E-004     0.30370553E-007     0.20767468E-007    -0.64210725E-008     0.34516930E-007
    -0.26065082E+001    -0.22663604E-003     0.41771574E-004     0.53181645E-008     0.59410992E-008     0.12180988E-007    -0.18452643E-007
    -0.25989090E+001    -0.21879176E-003     0.10454845E-004     0.94353136E-008     0.47789325E-008     0.17748079E-007     0.11747844E-007
    -0.25913099E+001    -0.21148816E-003     0.46058083E-005    -0.79888922E-009     0.29095795E-008     0.28519329E-007     0.15250529E-007
    -0.25837107E+001    -0.20735069E-003     0.37865058E-005     0.46088668E-008    -0.10940513E-008    -0.50930147E-007     0.23223363E-007
    -0.25761116E+001    -0.20428287E-003     0.86689874E-005    -0.27180575E-008    -0.74697013E-008    -0.27466959E-007     0.66386656E-009
    -0.25685124E+001    -0.21860793E-003     0.11369464E-004     0.11034564E-007    -0.12166399E-007    -0.11318148E-007    -0.24607156E-007
    -0.25609133E+001    -0.21849081E-003     0.28458168E-005     0.20646723E-007    -0.20531929E-008     0.67369230E-009    -0.10977810E-007
    -0.25533141E+001    -0.21774018E-003     0.10352024E-005     0.10631751E-007     0.70715367E-008    -0.15914531E-007    -0.11496637E-007
    -0.25457150E+001    -0.21816498E-003     0.39731860E-006     0.38640849E-008    -0.14270072E-008     0.47910434E-008    -0.48207521E-007
    -0.25381158E+001    -0.21920517E-003     0.71145083E-007     0.93328180E-008    -0.84688481E-008     0.30640947E-007     0.77504409E-008
    -0.25305167E+001    -0.22062109E-003    -0.13950294E-006     0.26801108E-007     0.14294755E-008    -0.76648415E-008    -0.21832461E-008
    -0.25229175E+001    -0.22230330E-003    -0.29882373E-006     0.19001083E-007     0.18203449E-007     0.38174590E-008    -0.28575170E-007
    -0.25153184E+001    -0.22420090E-003    -0.43374236E-006     0.47853950E-008     0.28086472E-007     0.38885662E-007     0.49259194E-008
    -0.25077192E+001    -0.22629123E-003    -0.56038767E-006    -0.61139010E-008     0.17293820E-007     0.75105661E-008     0.29813840E-007
    -0.25001201E+001    -0.22856707E-003    -0.68923268E-006    -0.15406566E-007     0.92640373E-008    -0.16833176E-007    -0.41169289E-008
    -0.24925209E+001    -0.23103766E-003    -0.82666148E-006    -0.47602690E-008    -0.68296991E-008     0.72541957E-008    -0.30620520E-008
    -0.24849218E+001    -0.23372867E-003    -0.98584671E-006     0.34508210E-008     0.44170764E-008    -0.18301324E-008     0.15765736E-007
    -0.24773226E+001    -0.23668214E-003    -0.11845620E-005    -0.12759924E-007     0.59584863E-008     0.28684933E-008    -0.14230466E-008
    -0.24697235E+001    -0.23997475E-003    -0.14509277E-005    -0.34876818E-008    -0.11694481E-007    -0.25674221E-007     0.85584844E-009
    -0.24621244E+001    -0.24374307E-003    -0.18449006E-005     0.50521934E-009    -0.65747164E-008    -0.62849008E-008    -0.14981354E-007
    -0.24545252E+001    -0.24824293E-003    -0.25022295E-005     0.72484734E-008    -0.57498190E-008     0.51108434E-008    -0.25774161E-008
    -0.24469261E+001    -0.25401501E-003    -0.37875060E-005     0.11271300E-007     0.36382164E-008     0.92465388E-008     0.65121193E-008
    -0.24393269E+001    -0.26236050E-003    -0.70152226E-005    -0.43185816E-008     0.18643424E-007    -0.45535776E-007     0.22688061E-007
    -0.24317278E+001    -0.27595238E-003    -0.19334751E-004    -0.70547296E-008    -0.10709644E-007    -0.47965911E-007    -0.51129256E-007
    -0.24241286E+001    -0.25420772E-003    -0.68072021E-004     0.97689888E-009     0.38861905E-008     0.39565357E-007    -0.45188267E-007
    -0.24165295E+001    -0.22121297E-003    -0.22005988E-004    -0.12918048E-007     0.14785500E-009     0.45746634E-007     0.18940233E-007
    -0.24089303E+001    -0.23594681E-003    -0.78018111E-005    -0.48189374E-008    -0.13292606E-007    -0.38212154E-007     0.35443611E-007
    -0.24013312E+001    -0.24554067E-003    -0.44945512E-005     0.94697286E-008    -0.15988711E-007    -0.16713198E-007    -0.20468657E-007
    -0.23937320E+001    -0.25269288E-003    -0.33992016E-005     0.14844287E-007     0.10358418E-007     0.80817929E-008     0.16434278E-007
    -0.23861329E+001    -0.25888554E-003    -0.30193094E-005    -0.84937238E-008     0.99623914E-008    -0.44326514E-007     0.20195481E-007
    -0.23785337E+001    -0.26477291E-003    -0.29657480E-005     0.71431420E-008    -0.53394658E-008    -0.63087030E-007    -0.12143117E-007
    -0.23709346E+001    -0.27073100E-003    -0.31237667E-005    -0.84223692E-008     0.23907568E-007    -0.25185277E-007    -0.62075781E-007
    -0.23633354E+001    -0.27705905E-003    -0.34901881E-005    -0.44775553E-007    -0.90949723E-008     0.15527360E-008    -0.27844178E-007
    -0.23557363E+001    -0.28410422E-003    -0.41538878E-005     0.86625319E-010    -0.56409206E-007    -0.25445185E-007    -0.28014129E-007
    -0.23481371E+001    -0.29243152E-003    -0.54044252E-005     0.39273560E-007    -0.12009979E-007    -0.30094139E-008    -0.52964175E-007
    -0.23405380E+001    -0.30321134E-003    -0.82774604E-005     0.29464188E-007     0.17875566E-007     0.34497647E-007    -0.16954053E-007
    -0.23329388E+001    -0.31881094E-003    -0.18174129E-004    -0.17900017E-007     0.48075579E-007    -0.33786354E-007     0.15798841E-007
    -0.23253397E+001    -0.31091413E-003    -0.58846002E-004    -0.15255943E-007    -0.36359876E-007    -0.20065793E-007    -0.33542993E-007
    -0.23177405E+001    -0.28663282E-003    -0.24222828E-004     0.35233042E-008     0.23888095E-008     0.45893371E-008    -0.18189215E-007
    -0.23101414E+001    -0.30828887E-003    -0.13599414E-004    -0.26870761E-008    -0.34811395E-008    -0.11310566E-007    -0.72757237E-009
    -0.23025422E+001    -0.32969014E-003    -0.14519806E-004    -0.10504141E-008    -0.94721009E-008    -0.46601811E-007     0.22376746E-007
    -0.22949431E+001    -0.35684878E-003    -0.22222351E-004     0.61082498E-009    -0.62722659E-008    -0.78524298E-007    -0.66764115E-007
    -0.22873439E+001    -0.40056713E-003    -0.48798258E-004     0.81890045E-008    -0.23468094E-008    -0.80973371E-008    -0.72453293E-007
    -0.22797448E+001    -0.45070506E-003    -0.18379144E-003    -0.50425839E-008    -0.66501391E-008    -0.12810344E-007    -0.59839056E-007
    -0.22721456E+001    -0.16238578E-003    -0.20391977E-003     0.90529122E-008    -0.95371324E-008     0.41840610E-008    -0.66332440E-007
