#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.72571875E+001    -0.48150267E-004     0.17944496E-007    -0.13965996E-008     0.73596017E-009    -0.94372608E-008    -0.22909181E-008
    -0.72495884E+001    -0.48166012E-004     0.17558777E-007    -0.89671617E-009     0.12463113E-008    -0.51514653E-008    -0.79564401E-008
    -0.72419892E+001    -0.48182319E-004     0.17260158E-007    -0.93368737E-009    -0.17783210E-008    -0.25842177E-008    -0.62457732E-008
    -0.72343901E+001    -0.48200642E-004     0.16817423E-007     0.15734496E-008     0.48870071E-009     0.47940182E-008    -0.19311466E-008
    -0.72267909E+001    -0.48221192E-004     0.15228966E-007     0.86533437E-009    -0.10202754E-009    -0.31237136E-008     0.13945190E-008
    -0.72191918E+001    -0.48245332E-004     0.12375539E-007     0.70007062E-009     0.13296322E-008    -0.50456814E-008    -0.55025571E-009
    -0.72115926E+001    -0.48277045E-004     0.57522153E-008     0.11352901E-008     0.12353205E-009    -0.57673095E-008    -0.80820881E-008
    -0.72039935E+001    -0.48324941E-004    -0.15779212E-007     0.66696269E-009     0.28035067E-008     0.44779446E-008    -0.10955084E-007
    -0.71963943E+001    -0.48393082E-004    -0.12085524E-006    -0.13594744E-008     0.17442655E-008     0.47827707E-008     0.20855220E-009
    -0.71887952E+001    -0.48129598E-004    -0.22729233E-006    -0.79945862E-009     0.70551331E-009     0.49181372E-009    -0.35308590E-008
    -0.71811960E+001    -0.48145145E-004    -0.37590999E-007    -0.28071666E-009     0.81895407E-009     0.39689730E-008    -0.50281506E-008
    -0.71735969E+001    -0.48202044E-004     0.34098754E-009    -0.13160044E-008    -0.52198358E-010     0.10353864E-007    -0.59413644E-008
    -0.71659977E+001    -0.48239427E-004     0.11991137E-007     0.14975221E-008    -0.15745311E-008     0.11512713E-007     0.71248787E-010
    -0.71583986E+001    -0.48268255E-004     0.16982180E-007     0.23649629E-008     0.20406323E-008     0.11185153E-007     0.88247064E-008
    -0.71507994E+001    -0.48292572E-004     0.19454334E-007    -0.97071156E-010     0.24839395E-008     0.14287338E-008     0.12154430E-007
    -0.71432003E+001    -0.48314764E-004     0.21380656E-007     0.19154106E-009     0.24596507E-008     0.78593041E-009     0.11833253E-007
    -0.71356011E+001    -0.48335926E-004     0.22417724E-007    -0.12996636E-008     0.12477125E-008    -0.41130268E-008     0.24366612E-008
    -0.71280020E+001    -0.48355903E-004     0.23225290E-007     0.59075003E-009     0.10695588E-008    -0.39697150E-008     0.51967135E-008
    -0.71204028E+001    -0.48375666E-004     0.24190433E-007     0.12314474E-008     0.26471588E-008    -0.80909980E-008    -0.32374257E-008
    -0.71128037E+001    -0.48395378E-004     0.24922924E-007    -0.15224918E-008     0.47386465E-008     0.58974270E-008    -0.20736251E-008
    -0.71052045E+001    -0.48414852E-004     0.25494127E-007    -0.33530646E-008     0.27815068E-008     0.39829695E-008     0.36631816E-008
    -0.70976054E+001    -0.48434400E-004     0.26442282E-007    -0.36545758E-008     0.22208329E-008     0.78942719E-009     0.47904133E-008
